ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
107,2014,2014-09-21,3,28.152,SEA,,DEN,W 26-20,*,26,88,3.38,1,5,3,40,13.33,1,60.0%,8.00,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0
108,2014,2014-10-06,4,28.167,SEA,@,WAS,W 27-17,,17,72,4.24,0,6,5,45,9.00,1,83.3%,7.50,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
109,2014,2014-10-12,5,28.173,SEA,,DAL,L 23-30,*,10,61,6.10,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
110,2014,2014-10-19,6,28.180,SEA,@,STL,L 26-28,*,18,53,2.94,0,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
111,2014,2014-10-26,7,28.187,SEA,@,CAR,W 13-9,*,14,62,4.43,0,4,1,2,2.00,0,25.0%,0.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
112,2014,2014-11-02,8,28.194,SEA,,OAK,W 30-24,*,21,67,3.19,2,5,5,76,15.20,0,100.0%,15.20,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0
113,2014,2014-11-09,9,28.201,SEA,,NYG,W 38-17,*,21,140,6.67,4,1,1,23,23.00,0,100.0%,23.00,0,0,,0,0,0,,0,0,,,,4,24,0.0,0,0
114,2014,2014-11-16,10,28.208,SEA,@,KAN,L 20-24,*,24,124,5.17,0,3,1,1,1.00,0,33.3%,0.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
115,2014,2014-11-23,11,28.215,SEA,,ARI,W 19-3,*,15,39,2.60,0,4,3,43,14.33,0,75.0%,10.75,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
116,2014,2014-11-27,12,28.219,SEA,@,SFO,W 19-3,*,20,104,5.20,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
117,2014,2014-12-07,13,28.229,SEA,@,PHI,W 24-14,*,23,86,3.74,0,5,5,27,5.40,1,100.0%,5.40,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
