ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
152,2015,2015-11-01,8,35.309,ARI,@,CLE,W 34-20,*,23,38,60.53,374,4,1,117.7,1,2,9.84,10.76,3,6,2.00,0,,0,0,0.0,0,0
153,2015,2015-11-15,9,35.323,ARI,@,SEA,W 39-32,*,29,47,61.70,363,3,1,98.1,3,29,7.72,8.04,3,-2,-0.67,0,,0,0,0.0,0,0
154,2015,2015-11-22,10,35.330,ARI,,CIN,W 34-31,*,20,31,64.52,317,4,2,111.2,2,16,10.23,9.90,1,-1,-1.00,0,,0,0,0.0,0,0
155,2015,2015-11-29,11,35.337,ARI,@,SFO,W 19-13,*,24,40,60.00,271,0,0,80.3,1,4,6.78,6.78,3,6,2.00,1,,1,6,0.0,0,0
156,2015,2015-12-06,12,35.344,ARI,@,STL,W 27-3,*,26,40,65.00,356,2,0,110.0,2,13,8.90,9.90,0,0,,0,,0,0,0.0,0,0
157,2015,2015-12-10,13,35.348,ARI,,MIN,W 23-20,*,25,35,71.43,310,2,0,117.6,2,14,8.86,10.00,3,3,1.00,0,,0,0,0.0,0,0
158,2015,2015-12-20,14,35.358,ARI,@,PHI,W 40-17,*,20,32,62.50,274,1,0,100.3,2,11,8.56,9.19,0,0,,0,,0,0,0.0,0,0
159,2015,2015-12-27,15,36.000,ARI,,GNB,W 38-8,*,18,27,66.67,265,2,1,107.8,2,9,9.81,9.63,0,0,,0,,0,0,0.0,0,0
160,2015,2016-01-03,16,36.007,ARI,,SEA,L 6-36,*,12,25,48.00,129,1,1,60.2,0,0,5.16,4.16,0,0,,0,,0,0,0.0,0,0
161,2016,2016-09-11,1,36.259,ARI,,NWE,L 21-23,*,24,37,64.86,271,2,0,104.7,3,19,7.32,8.41,2,1,0.50,0,,0,0,0.0,0,0
162,2016,2016-09-18,2,36.266,ARI,,TAM,W 40-7,*,17,30,56.67,304,3,0,124.9,1,4,10.13,12.13,0,0,,0,,0,0,0.0,0,0
163,2016,2016-09-25,3,36.273,ARI,@,BUF,L 18-33,*,26,50,52.00,287,0,4,36.0,5,27,5.74,2.14,0,0,,0,,0,0,0.0,0,0
164,2016,2016-10-02,4,36.280,ARI,,LAR,L 13-17,*,23,36,63.89,288,1,1,86.3,3,23,8.00,7.31,0,0,,0,,0,0,0.0,0,0
165,2016,2016-10-17,6,36.295,ARI,,NYJ,W 28-3,*,23,34,67.65,213,1,0,94.4,0,0,6.26,6.85,3,-1,-0.33,0,,0,0,0.0,0,0
166,2016,2016-10-23,7,36.301,ARI,,SEA,T 6-6,*,29,49,59.18,342,0,0,80.5,4,31,6.98,6.98,1,8,8.00,0,,0,0,0.0,0,0
167,2016,2016-10-30,8,36.308,ARI,@,CAR,L 20-30,*,35,46,76.09,363,3,1,111.1,8,47,7.89,8.22,0,0,,0,,0,0,0.0,0,0
