ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
27,2009,2009-11-29,11,24.196,ATL,,TAM,W 20-17,*,2,3,66.67,15,0,0,78.5,1,3,5.00,5.00,0,0,,0,,0,0,0.0,0,0
28,2009,2009-12-20,14,24.217,ATL,@,NYJ,W 10-7,*,16,34,47.06,152,1,0,69.7,0,0,4.47,5.06,2,-2,-1.00,0,,0,0,0.0,0,0
29,2009,2009-12-27,15,24.224,ATL,,BUF,W 31-3,*,18,35,51.43,250,3,0,103.3,3,16,7.14,8.86,0,0,,0,,0,0,0.0,0,0
30,2009,2010-01-03,16,24.231,ATL,@,TAM,W 20-10,*,23,35,65.71,223,2,2,78.6,1,9,6.37,4.94,1,3,3.00,0,,0,0,0.0,0,0
31,2010,2010-09-12,1,25.118,ATL,@,PIT,L 9-15,*,27,44,61.36,252,0,1,67.6,2,15,5.73,4.70,2,4,2.00,0,,0,0,0.0,0,0
32,2010,2010-09-19,2,25.125,ATL,,ARI,W 41-7,*,21,32,65.63,225,3,0,117.3,1,2,7.03,8.91,6,6,1.00,0,,0,0,0.0,0,0
33,2010,2010-09-26,3,25.132,ATL,@,NOR,W 27-24,*,19,30,63.33,228,2,0,108.7,2,13,7.60,8.93,6,26,4.33,0,,0,0,0.0,0,0
34,2010,2010-10-03,4,25.139,ATL,,SFO,W 16-14,*,26,43,60.47,273,1,2,67.3,3,14,6.35,4.72,4,15,3.75,0,,0,0,0.0,0,0
35,2010,2010-10-10,5,25.146,ATL,@,CLE,W 20-10,*,16,28,57.14,187,1,0,89.4,2,14,6.68,7.39,5,5,1.00,0,,0,0,0.0,0,0
36,2010,2010-10-17,6,25.153,ATL,@,PHI,L 17-31,*,23,42,54.76,250,2,1,78.5,3,22,5.95,5.83,1,3,3.00,0,,0,0,0.0,0,0
37,2010,2010-10-24,7,25.160,ATL,,CIN,W 39-32,*,24,33,72.73,299,3,1,118.1,0,0,9.06,9.52,1,5,5.00,0,1,0,2,0.0,0,0
38,2010,2010-11-07,8,25.174,ATL,,TAM,W 27-21,*,24,36,66.67,235,1,0,94.1,0,0,6.53,7.08,3,5,1.67,0,,0,0,0.0,0,0
39,2010,2010-11-11,9,25.178,ATL,,BAL,W 26-21,*,32,50,64.00,316,3,0,101.7,2,14,6.32,7.52,1,5,5.00,0,,0,0,0.0,0,0
40,2010,2010-11-21,10,25.188,ATL,@,STL,W 34-17,*,26,39,66.67,253,2,0,101.8,0,0,6.49,7.51,1,8,8.00,0,1,0,2,0.0,0,0
41,2010,2010-11-28,11,25.195,ATL,,GNB,W 20-17,*,24,28,85.71,197,1,0,107.9,2,20,7.04,7.75,0,0,,0,,0,0,0.0,0,0
42,2010,2010-12-05,12,25.202,ATL,@,TAM,W 28-24,*,18,36,50.00,205,2,2,62.8,0,0,5.69,4.31,3,-3,-1.00,0,,0,0,0.0,0,0
43,2010,2010-12-12,13,25.209,ATL,@,CAR,W 31-10,*,20,34,58.82,227,1,1,76.5,3,27,6.68,5.94,1,4,4.00,0,,0,0,0.0,0,0
44,2010,2010-12-19,14,25.216,ATL,@,SEA,W 34-18,*,20,35,57.14,174,3,1,87.1,1,6,4.97,5.40,6,6,1.00,0,,0,0,0.0,0,0
45,2010,2010-12-27,15,25.224,ATL,,NOR,L 14-17,*,15,29,51.72,148,1,0,77.9,1,8,5.10,5.79,4,26,6.50,0,,0,0,0.0,0,0
46,2010,2011-01-02,16,25.230,ATL,,CAR,W 31-10,*,22,32,68.75,236,2,0,110.9,1,3,7.38,8.63,2,7,3.50,0,,0,0,0.0,0,0
