ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists
167,2011,2011-11-06,8,35.167,ARI,,STL,W 19-13,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,2,100.0,0,7,0.0,0,0
168,2011,2011-11-13,9,35.174,ARI,@,PHI,W 21-17,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,,2,0.0,0,3,0.0,0,0
169,2011,2011-11-20,10,35.181,ARI,@,SFO,L 7-23,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,,,,0,1,0.0,0,0
170,2011,2011-11-27,11,35.188,ARI,@,STL,W 23-20,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,3,3,100.0,0,11,0.0,0,0
171,2011,2011-12-04,12,35.195,ARI,,DAL,W 19-13,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,2,100.0,0,7,0.0,0,0
172,2011,2011-12-11,13,35.202,ARI,,SFO,W 21-19,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,,,,0,3,0.0,0,0
173,2011,2011-12-18,14,35.209,ARI,,CLE,W 20-17,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
174,2011,2011-12-24,15,35.215,ARI,@,CIN,L 16-23,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,1,100.0,0,4,0.0,0,0
175,2011,2012-01-01,16,35.223,ARI,,SEA,W 23-20,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,3,3,100.0,0,11,0.0,0,0
176,2012,2012-09-09,1,36.109,ARI,,SEA,W 20-16,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
177,2012,2012-09-16,2,36.116,ARI,@,NWE,W 20-18,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
178,2012,2012-09-23,3,36.123,ARI,,PHI,W 27-6,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,2,100.0,0,9,0.0,0,0
179,2012,2012-09-30,4,36.130,ARI,,MIA,W 24-21,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
180,2012,2012-10-04,5,36.134,ARI,@,STL,L 3-17,,0,0,,0,0,0,0,,0,0.0%,,,,,1,2,50.0,0,3,0.0,0,0
181,2012,2012-10-14,6,36.144,ARI,,BUF,L 16-19,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,3,4,75.0,0,10,0.0,0,0
182,2012,2012-10-21,7,36.151,ARI,@,MIN,L 14-21,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,,1,0.0,0,2,0.0,0,0
183,2012,2012-10-29,8,36.159,ARI,,SFO,L 3-24,,0,0,,0,0,0,0,,0,0.0%,,,,,1,1,100.0,0,3,0.0,0,0
184,2012,2012-11-04,9,36.165,ARI,@,GNB,L 17-31,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,1,1,100.0,0,5,0.0,0,0
185,2012,2012-11-18,10,36.179,ARI,@,ATL,L 19-23,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,4,4,100.0,0,13,0.0,0,0
186,2012,2012-11-25,11,36.186,ARI,,STL,L 17-31,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,1,1,100.0,0,5,0.0,0,0
187,2012,2012-12-02,12,36.193,ARI,@,NYJ,L 6-7,,0,0,,0,0,0,0,,0,0.0%,,,,,2,2,100.0,0,6,0.0,0,0
188,2012,2012-12-09,13,36.200,ARI,@,SEA,L 0-58,,,,,,0,,,,,0.0%,,,,,,,,,,,,
189,2012,2012-12-16,14,36.207,ARI,,DET,W 38-10,,0,0,,0,0,0,0,,0,0.0%,,5,5,100.0,1,1,100.0,0,8,0.0,0,0
190,2012,2012-12-23,15,36.214,ARI,,CHI,L 13-28,,1,0,0.00,0,0,0,0,,0,0.0%,,1,1,100.0,2,2,100.0,0,7,0.0,0,0
191,2012,2012-12-30,16,36.221,ARI,@,SFO,L 13-27,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,2,100.0,0,7,0.0,0,0
192,2013,2013-09-08,1,37.108,ARI,@,STL,L 24-27,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,2,50.0,0,6,0.0,0,0
193,2013,2013-09-15,2,37.115,ARI,,DET,W 25-21,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,4,4,100.0,0,13,0.0,0,1
194,2013,2013-09-22,3,37.122,ARI,@,NOR,L 7-31,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,,,,0,1,0.0,0,0
195,2013,2013-09-29,4,37.129,ARI,@,TAM,W 13-10,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,2,100.0,0,7,0.0,0,0
196,2013,2013-10-06,5,37.136,ARI,,CAR,W 22-6,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
197,2013,2013-10-13,6,37.143,ARI,@,SFO,L 20-32,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,,,,0,2,0.0,0,0
198,2013,2013-10-17,7,37.147,ARI,,SEA,L 22-34,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,3,3,100.0,0,10,0.0,0,0
199,2013,2013-10-27,8,37.157,ARI,,ATL,W 27-13,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,2,100.0,0,9,0.0,0,0
200,2013,2013-11-10,9,37.171,ARI,,HOU,W 27-24,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,2,100.0,0,9,0.0,0,0
201,2013,2013-11-17,10,37.178,ARI,@,JAX,W 27-14,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,2,100.0,0,9,0.0,1,0
202,2013,2013-11-24,11,37.185,ARI,,IND,W 40-11,,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,4,5,80.0,0,16,0.0,1,0
203,2013,2013-12-01,12,37.192,ARI,@,PHI,L 21-24,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,,,,0,3,0.0,0,0
204,2013,2013-12-08,13,37.199,ARI,,STL,W 30-10,,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,,2,0.0,0,4,0.0,0,0
205,2013,2013-12-15,14,37.206,ARI,@,TEN,W 37-34,,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,3,3,100.0,0,13,0.0,0,0
206,2013,2013-12-22,15,37.213,ARI,@,SEA,W 17-10,,0,0,,0,0,0,0,,0,0.0%,,,,,3,3,100.0,0,9,0.0,0,0
207,2013,2013-12-29,16,37.220,ARI,,SFO,L 20-23,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,4,50.0,0,8,0.0,0,0
208,2014,2014-12-04,13,38.195,CHI,,DAL,L 28-41,,0,0,,0,0,0,0,,0,0.0%,,2,3,66.7,,,,0,2,0.0,0,0
209,2014,2014-12-15,14,38.206,CHI,,NOR,L 15-31,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,,,,0,1,0.0,0,0
210,2014,2014-12-21,15,38.212,CHI,,DET,L 14-20,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,,,,0,2,0.0,0,0
211,2014,2014-12-28,16,38.219,CHI,@,MIN,L 9-13,,0,0,,0,0,0,0,,0,0.0%,,,,,3,4,75.0,0,9,0.0,0,0
