ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
133,2012,2012-11-04,8,32.032,BAL,@,CLE,W 25-15,*,5,5,57,11.40,0,100.0%,11.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,2,0.0,0,0
134,2012,2012-11-11,9,32.039,BAL,,OAK,W 55-20,*,7,4,38,9.50,0,57.1%,5.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
135,2012,2012-11-18,10,32.046,BAL,@,PIT,W 13-10,*,12,8,79,9.88,0,66.7%,6.58,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
136,2012,2012-11-25,11,32.053,BAL,@,SDG,W 16-13,*,8,2,42,21.00,0,25.0%,5.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
137,2012,2012-12-02,12,32.060,BAL,,PIT,L 20-23,*,12,5,81,16.20,1,41.7%,6.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
138,2012,2012-12-09,13,32.067,BAL,@,WAS,L 28-31,*,3,3,78,26.00,2,100.0%,26.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0
139,2012,2012-12-16,14,32.074,BAL,,DEN,L 17-34,*,6,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
140,2012,2012-12-23,15,32.081,BAL,,NYG,W 33-14,*,7,7,93,13.29,0,100.0%,13.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
141,2013,2013-09-08,1,32.340,SFO,,GNB,W 34-28,*,17,13,208,16.00,1,76.5%,12.24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
142,2013,2013-09-15,2,32.347,SFO,@,SEA,L 3-29,*,4,1,7,7.00,0,25.0%,1.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0
143,2013,2013-09-22,3,32.354,SFO,,IND,L 7-27,*,8,5,67,13.40,0,62.5%,8.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0
144,2013,2013-09-26,4,32.358,SFO,@,STL,W 35-11,*,7,5,90,18.00,1,71.4%,12.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
145,2013,2013-10-06,5,33.003,SFO,,HOU,W 34-3,*,6,2,21,10.50,0,33.3%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
146,2013,2013-10-13,6,33.010,SFO,,ARI,W 32-20,*,8,3,28,9.33,0,37.5%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
147,2013,2013-10-20,7,33.017,SFO,@,TEN,W 31-17,*,6,5,74,14.80,0,83.3%,12.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
148,2013,2013-10-27,8,33.024,SFO,@,JAX,W 42-10,*,6,4,56,14.00,0,66.7%,9.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
149,2013,2013-11-10,9,33.038,SFO,,CAR,L 9-10,*,5,3,23,7.67,0,60.0%,4.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
150,2013,2013-11-17,10,33.045,SFO,@,NOR,L 20-23,*,9,6,56,9.33,1,66.7%,6.22,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
151,2013,2013-11-25,11,33.053,SFO,@,WAS,W 27-6,*,6,5,94,18.80,2,83.3%,15.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0
152,2013,2013-12-01,12,33.059,SFO,,STL,W 23-13,*,13,9,98,10.89,0,69.2%,7.54,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
153,2013,2013-12-08,13,33.066,SFO,,SEA,W 19-17,*,8,6,93,15.50,0,75.0%,11.63,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
154,2013,2013-12-15,14,33.073,SFO,@,TAM,W 33-14,*,8,3,43,14.33,0,37.5%,5.38,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
155,2013,2013-12-23,15,33.081,SFO,,ATL,W 34-24,*,7,6,72,12.00,1,85.7%,10.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
156,2013,2013-12-29,16,33.087,SFO,@,ARI,W 23-20,*,11,9,149,16.56,1,81.8%,13.55,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
157,2014,2014-09-07,1,33.339,SFO,@,DAL,W 28-17,*,9,8,99,12.38,0,88.9%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
158,2014,2014-09-14,2,33.346,SFO,,CHI,L 20-28,*,6,2,34,17.00,0,33.3%,5.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0
159,2014,2014-09-21,3,33.353,SFO,@,ARI,L 14-23,*,6,6,36,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
160,2014,2014-09-28,4,33.360,SFO,,PHI,W 26-21,*,7,5,62,12.40,0,71.4%,8.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
161,2014,2014-10-05,5,34.002,SFO,,KAN,W 22-17,*,8,4,72,18.00,0,50.0%,9.00,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,0,0,0.0,0,0
162,2014,2014-10-13,6,34.010,SFO,@,STL,W 31-17,*,9,7,94,13.43,1,77.8%,10.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
163,2014,2014-10-19,7,34.016,SFO,@,DEN,L 17-42,*,10,7,50,7.14,0,70.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
164,2014,2014-11-02,8,34.030,SFO,,STL,L 10-13,*,7,6,93,15.50,1,85.7%,13.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
165,2014,2014-11-09,9,34.037,SFO,@,NOR,W 27-24,*,14,6,95,15.83,1,42.9%,6.79,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
166,2014,2014-11-16,10,34.044,SFO,@,NYG,W 16-10,*,6,5,53,10.60,0,83.3%,8.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
167,2014,2014-11-23,11,34.051,SFO,,WAS,W 17-13,*,12,9,137,15.22,1,75.0%,11.42,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,1,0
168,2014,2014-11-27,12,34.055,SFO,,SEA,L 3-19,*,5,3,18,6.00,0,60.0%,3.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
169,2014,2014-12-07,13,34.065,SFO,@,OAK,L 13-24,*,9,4,54,13.50,0,44.4%,6.00,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
170,2014,2014-12-14,14,34.072,SFO,@,SEA,L 7-17,*,4,2,23,11.50,0,50.0%,5.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
171,2014,2014-12-20,15,34.078,SFO,,SDG,L 35-38,*,9,7,61,8.71,0,77.8%,6.78,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
172,2014,2014-12-28,16,34.086,SFO,,ARI,W 20-17,*,9,2,81,40.50,1,22.2%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
173,2015,2015-09-14,1,34.346,SFO,,MIN,W 20-3,*,5,4,36,9.00,0,80.0%,7.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
174,2015,2015-09-20,2,34.352,SFO,@,PIT,L 18-43,*,10,6,60,10.00,1,60.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
175,2015,2015-09-27,3,34.359,SFO,@,ARI,L 7-47,*,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
176,2015,2015-10-04,4,35.001,SFO,,GNB,L 3-17,*,7,3,12,4.00,0,42.9%,1.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
177,2015,2015-10-11,5,35.008,SFO,@,NYG,L 27-30,*,12,8,107,13.38,1,66.7%,8.92,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
178,2015,2015-10-18,6,35.015,SFO,,BAL,W 25-20,*,9,5,102,20.40,0,55.6%,11.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
179,2015,2015-10-22,7,35.019,SFO,,SEA,L 3-20,,7,3,39,13.00,0,42.9%,5.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
180,2015,2015-11-22,10,35.050,SFO,@,SEA,L 13-29,*,7,5,93,18.60,0,71.4%,13.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
181,2015,2015-11-29,11,35.057,SFO,,ARI,L 13-19,*,11,8,93,11.63,0,72.7%,8.45,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
182,2015,2015-12-06,12,35.064,SFO,@,CHI,W 26-20,*,13,5,37,7.40,0,38.5%,2.85,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
183,2015,2015-12-13,13,35.071,SFO,@,CLE,L 10-24,*,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
184,2015,2015-12-20,14,35.078,SFO,,CIN,L 14-24,*,10,8,74,9.25,1,80.0%,7.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
185,2015,2015-12-27,15,35.085,SFO,@,DET,L 17-32,*,5,5,27,5.40,0,100.0%,5.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
186,2015,2016-01-03,16,35.092,SFO,,STL,W 19-16,*,8,5,71,14.20,1,62.5%,8.88,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
187,2016,2016-09-11,1,35.344,DET,@,IND,W 39-35,*,3,3,35,11.67,0,100.0%,11.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
188,2016,2016-09-18,2,35.351,DET,,TEN,L 15-16,*,7,4,48,12.00,1,57.1%,6.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
189,2016,2016-09-25,3,35.358,DET,@,GNB,L 27-34,*,6,4,22,5.50,1,66.7%,3.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
190,2016,2016-10-02,4,35.365,DET,@,CHI,L 14-17,*,8,6,31,5.17,0,75.0%,3.88,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
191,2016,2016-10-09,5,36.006,DET,,PHI,W 24-23,*,4,4,48,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
192,2016,2016-10-16,6,36.013,DET,,LAR,W 31-28,*,9,8,60,7.50,1,88.9%,6.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
193,2016,2016-10-23,7,36.020,DET,,WAS,W 20-17,*,4,3,28,9.33,1,75.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
194,2016,2016-10-30,8,36.027,DET,@,HOU,L 13-20,*,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
195,2016,2016-11-06,9,36.034,DET,@,MIN,W 22-16,*,4,2,10,5.00,1,50.0%,2.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
196,2016,2016-11-20,10,36.048,DET,,JAX,W 26-19,*,9,6,37,6.17,0,66.7%,4.11,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
197,2016,2016-11-24,11,36.052,DET,,MIN,W 16-13,*,9,7,69,9.86,1,77.8%,7.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
198,2016,2016-12-04,12,36.062,DET,@,NOR,W 28-13,*,6,4,40,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
199,2016,2016-12-11,13,36.069,DET,,CHI,W 20-17,*,6,3,49,16.33,1,50.0%,8.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
200,2016,2016-12-18,14,36.076,DET,@,NYG,L 6-17,*,4,3,13,4.33,0,75.0%,3.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
201,2016,2016-12-26,15,36.084,DET,@,DAL,L 21-42,*,7,5,33,6.60,0,71.4%,4.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
202,2016,2017-01-01,16,36.090,DET,,GNB,L 24-31,*,6,4,57,14.25,1,66.7%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
