ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
139,2012,2012-12-16,14,31.229,NWE,,SFO,L 34-41,*,9,5,56,11.20,0,55.6%,6.22,0,0,,0,0,0,,0,5,13,2.60,0,,,,,,,,0,0,0.0,1,0
140,2012,2012-12-23,15,31.236,NWE,@,JAX,W 23-16,,12,10,88,8.80,1,83.3%,7.33,1,9,9.00,0,0,0,,0,3,42,14.00,0,,,,,,,,1,6,0.0,0,0
141,2012,2012-12-30,16,31.243,NWE,,MIA,W 28-0,*,12,8,94,11.75,1,66.7%,7.83,1,11,11.00,0,0,0,,0,4,30,7.50,0,,,,,,,,1,6,0.0,0,0
142,2013,2013-09-05,1,32.127,DEN,,BAL,W 49-27,*,11,9,67,7.44,2,81.8%,6.09,0,0,,0,0,0,,0,2,27,13.50,0,,,,,,,,2,12,0.0,1,0
143,2013,2013-09-15,2,32.137,DEN,@,NYG,W 41-23,*,8,3,39,13.00,1,37.5%,4.88,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,0,0
144,2013,2013-09-23,3,32.145,DEN,,OAK,W 37-21,*,8,7,84,12.00,1,87.5%,10.50,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,0,0
145,2013,2013-09-29,4,32.151,DEN,,PHI,W 52-20,*,9,7,76,10.86,2,77.8%,8.44,0,0,,0,0,0,,0,0,0,,0,,,,,,,,2,12,0.0,0,0
146,2013,2013-10-06,5,32.158,DEN,@,DAL,W 51-48,*,6,5,49,9.80,1,83.3%,8.17,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,0,0
147,2013,2013-10-13,6,32.165,DEN,,JAX,W 35-19,*,8,6,63,10.50,1,75.0%,7.88,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,1,0
148,2013,2013-10-20,7,32.172,DEN,@,IND,L 33-39,*,12,7,96,13.71,0,58.3%,8.00,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
149,2013,2013-10-27,8,32.179,DEN,,WAS,W 45-21,*,10,6,81,13.50,1,60.0%,8.10,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,0,0
150,2013,2013-11-10,9,32.193,DEN,@,SDG,W 28-20,*,6,3,21,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
151,2013,2013-11-17,10,32.200,DEN,,KAN,W 27-17,*,10,8,72,9.00,0,80.0%,7.20,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
152,2013,2013-11-24,11,32.207,DEN,@,NWE,L 31-34,*,8,4,31,7.75,0,50.0%,3.88,0,0,,0,0,0,,0,2,13,6.50,0,,,,,,,,0,0,0.0,0,0
153,2013,2013-12-01,12,32.214,DEN,@,KAN,W 35-28,*,5,3,38,12.67,0,60.0%,7.60,0,0,,0,0,0,,0,3,5,1.67,0,,,,,,,,0,0,0.0,0,0
154,2013,2013-12-08,13,32.221,DEN,,TEN,W 51-28,*,10,5,61,12.20,1,50.0%,6.10,0,0,,0,0,0,,0,3,25,8.33,0,,,,,,,,1,6,0.0,0,0
155,2014,2014-09-21,3,33.143,DEN,@,SEA,L 20-26,,9,6,60,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
156,2014,2014-10-05,4,33.157,DEN,,ARI,W 41-20,*,9,7,58,8.29,0,77.8%,6.44,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,1,0
157,2014,2014-10-12,5,33.164,DEN,@,NYJ,W 31-17,*,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
158,2014,2014-10-19,6,33.171,DEN,,SFO,W 42-17,*,3,3,50,16.67,1,100.0%,16.67,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,0,0
159,2014,2014-10-23,7,33.175,DEN,,SDG,W 35-21,*,2,2,5,2.50,0,100.0%,2.50,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
160,2014,2014-11-02,8,33.185,DEN,@,NWE,L 21-43,*,8,3,31,10.33,0,37.5%,3.88,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
161,2014,2014-11-09,9,33.192,DEN,@,OAK,W 41-17,*,5,4,24,6.00,0,80.0%,4.80,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
162,2014,2014-11-16,10,33.199,DEN,@,STL,L 7-22,*,6,4,28,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
163,2014,2014-11-23,11,33.206,DEN,,MIA,W 39-36,,4,4,18,4.50,1,100.0%,4.50,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,0,0
164,2014,2014-11-30,12,33.213,DEN,@,KAN,W 29-16,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
165,2014,2014-12-07,13,33.220,DEN,,BUF,W 24-17,,6,6,82,13.67,0,100.0%,13.67,0,0,,0,0,0,,0,1,7,7.00,0,,,,,,,,0,0,0.0,0,0
166,2014,2014-12-14,14,33.227,DEN,@,SDG,W 22-10,,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,2,16,8.00,0,,,,,,,,0,0,0.0,0,0
167,2014,2014-12-22,15,33.235,DEN,@,CIN,L 28-37,,4,4,30,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,3,14,4.67,0,,,,,,,,0,0,0.0,0,0
168,2014,2014-12-28,16,33.241,DEN,,OAK,W 47-14,*,2,2,42,21.00,0,100.0%,21.00,0,0,,0,0,0,,0,5,37,7.40,0,,,,,,,,0,0,0.0,0,0
169,2015,2015-11-15,9,34.198,STL,,CHI,L 13-37,,6,3,32,10.67,0,50.0%,5.33,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
170,2015,2015-11-22,10,34.205,STL,@,BAL,L 13-16,,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,0,1,10,10.00,0,,,,,,,,0,0,0.0,0,0
171,2015,2015-11-29,11,34.212,STL,@,CIN,L 7-31,,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,0,1,13,13.00,0,,,,,,,,0,0,0.0,0,0
172,2015,2015-12-06,12,34.219,STL,,ARI,L 3-27,,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
173,2015,2015-12-13,13,34.226,STL,,DET,W 21-14,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
174,2015,2015-12-17,14,34.230,STL,,TAM,W 31-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
175,2015,2015-12-27,15,34.240,STL,@,SEA,W 23-17,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
176,2015,2016-01-03,16,34.247,STL,@,SFO,L 16-19,,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0
