ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
138,1968,1968-11-24,11,39.012,PHI,@,CLE,L 13-47,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,2,3,66.7,0,7,3,125,41.67,0
139,1968,1968-11-28,12,39.016,PHI,@,DET,W 12-0,0,0,,0,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,4,4,100.0,0,12,3,127,42.33,0
140,1968,1968-12-08,13,39.026,PHI,,NOR,W 29-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,4,75.0,,1,0.0,0,3,5,220,44.00,0
141,1968,1968-12-15,14,39.033,PHI,,MIN,L 17-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,1,1,100.0,0,5,4,147,36.75,0
142,1969,1969-09-21,1,39.313,PHI,,CLE,L 20-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,,2,0.0,0,2,0,0,,0
143,1969,1969-09-28,2,39.320,PHI,,PIT,W 41-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,2,3,66.7,0,11,0,0,,0
144,1969,1969-10-05,3,39.327,PHI,,DAL,L 7-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,,1,0.0,0,1,0,0,,0
145,1969,1969-10-13,4,39.335,PHI,@,BAL,L 20-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
146,1969,1969-10-19,5,39.341,PHI,@,DAL,L 14-49,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,,1,0.0,0,2,0,0,,0
147,1969,1969-10-26,6,39.348,PHI,,NOR,W 13-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,2,5,40.0,0,7,0,0,,0
148,1969,1969-11-02,7,39.355,PHI,@,NYG,W 23-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,3,3,100.0,0,11,0,0,,0
149,1969,1969-11-09,8,39.362,PHI,@,WAS,T 28-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,,1,0.0,0,4,0,0,,0
150,1969,1969-11-16,9,40.004,PHI,,RAM,L 17-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
151,1969,1969-11-23,10,40.011,PHI,@,STL,W 34-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,2,3,66.7,0,10,0,0,,0
152,1969,1969-11-30,11,40.018,PHI,@,NOR,L 17-26,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
153,1969,1969-12-07,12,40.025,PHI,,WAS,L 29-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,2,3,66.7,0,9,0,0,,0
154,1969,1969-12-14,13,40.032,PHI,,ATL,L 3-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,1,1,100.0,0,3,0,0,,0
155,1969,1969-12-21,14,40.039,PHI,@,SFO,L 13-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,,3,0.0,0,1,0,0,,0
