ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,sacks,tackles_solo,tackles_assists
151,2010,2010-12-19,14,32.344,CIN,,CLE,W 19-17,,3,2,36,18.00,0,66.7%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
152,2011,2011-09-12,1,33.246,NWE,@,MIA,W 38-24,,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
153,2011,2011-09-18,2,33.252,NWE,,SDG,W 35-21,,2,2,45,22.50,0,100.0%,22.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
154,2011,2011-09-25,3,33.259,NWE,@,BUF,L 31-34,*,4,2,28,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
155,2011,2011-10-02,4,33.266,NWE,@,OAK,W 31-19,,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
156,2011,2011-10-09,5,33.273,NWE,,NYJ,W 30-21,*,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
157,2011,2011-10-16,6,33.280,NWE,,DAL,W 20-16,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
158,2011,2011-10-30,7,33.294,NWE,@,PIT,L 17-25,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
159,2011,2011-11-06,8,33.301,NWE,,NYG,L 20-24,,5,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
160,2011,2011-11-13,9,33.308,NWE,@,NYJ,W 37-16,,2,2,65,32.50,0,100.0%,32.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
161,2011,2011-11-21,10,33.316,NWE,,KAN,W 34-3,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
162,2011,2011-12-04,12,33.329,NWE,,IND,W 31-24,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
163,2011,2011-12-11,13,33.336,NWE,@,WAS,W 34-27,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
164,2011,2011-12-18,14,33.343,NWE,@,DEN,W 41-23,*,3,1,33,33.00,1,33.3%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
165,2011,2011-12-24,15,33.349,NWE,,MIA,W 27-24,,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
166,2011,2012-01-01,16,33.357,NWE,,BUF,W 49-21,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
