ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
120,2005,2005-11-27,11,28.287,OAK,,MIA,L 21-33,*,5,3,28,9.33,0,60.0%,5.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
121,2005,2005-12-04,12,28.294,OAK,@,SDG,L 10-34,*,10,7,74,10.57,0,70.0%,7.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
122,2005,2005-12-11,13,28.301,OAK,@,NYJ,L 10-26,*,6,2,18,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
123,2005,2005-12-18,14,28.308,OAK,,CLE,L 7-9,*,5,1,28,28.00,1,20.0%,5.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
124,2005,2005-12-24,15,28.314,OAK,@,DEN,L 3-22,*,12,5,72,14.40,0,41.7%,6.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
125,2005,2005-12-31,16,28.321,OAK,,NYG,L 21-30,*,11,7,116,16.57,2,63.6%,10.55,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0.0,,,0,0,0
126,2006,2006-09-11,1,29.210,OAK,,SDG,L 0-27,*,6,4,47,11.75,0,66.7%,7.83,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
127,2006,2006-09-17,2,29.216,OAK,@,BAL,L 6-28,*,8,2,32,16.00,0,25.0%,4.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
128,2006,2006-10-01,3,29.230,OAK,,CLE,L 21-24,*,6,1,5,5.00,1,16.7%,0.83,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
129,2006,2006-10-08,4,29.237,OAK,@,SFO,L 20-34,*,8,5,52,10.40,1,62.5%,6.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
130,2006,2006-10-15,5,29.244,OAK,@,DEN,L 3-13,*,12,5,86,17.20,0,41.7%,7.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
131,2006,2006-10-22,6,29.251,OAK,,ARI,W 22-9,*,14,7,129,18.43,1,50.0%,9.21,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
132,2006,2006-10-29,7,29.258,OAK,,PIT,W 20-13,*,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
133,2006,2006-11-06,8,29.266,OAK,@,SEA,L 0-16,*,13,6,76,12.67,0,46.2%,5.85,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
134,2006,2006-11-12,9,29.272,OAK,,DEN,L 13-17,*,5,1,8,8.00,0,20.0%,1.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
135,2006,2006-11-19,10,29.279,OAK,@,KAN,L 13-17,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
136,2006,2006-11-26,11,29.286,OAK,@,SDG,L 14-21,*,8,3,26,8.67,0,37.5%,3.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
137,2006,2006-12-03,12,29.293,OAK,,HOU,L 14-23,*,6,4,44,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
138,2006,2006-12-10,13,29.300,OAK,@,CIN,L 10-27,*,4,2,28,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
139,2007,2007-09-09,1,30.208,NWE,@,NYJ,W 38-14,*,9,9,183,20.33,1,100.0%,20.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
140,2007,2007-09-16,2,30.215,NWE,,SDG,W 38-14,*,9,8,105,13.13,2,88.9%,11.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0.0,,,0,0,0
141,2007,2007-09-23,3,30.222,NWE,,BUF,W 38-7,*,8,5,115,23.00,2,62.5%,14.38,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0.0,,,0,0,0
142,2007,2007-10-01,4,30.230,NWE,@,CIN,W 34-13,*,9,9,102,11.33,2,100.0%,11.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0.0,,,0,0,0
143,2007,2007-10-07,5,30.236,NWE,,CLE,W 34-17,*,8,3,46,15.33,0,37.5%,5.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
144,2007,2007-10-14,6,30.243,NWE,@,DAL,W 48-27,*,13,6,59,9.83,1,46.2%,4.54,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
145,2007,2007-10-21,7,30.250,NWE,@,MIA,W 49-28,*,5,4,122,30.50,2,80.0%,24.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0.0,,,0,0,0
146,2007,2007-10-28,8,30.257,NWE,,WAS,W 52-7,*,5,3,47,15.67,1,60.0%,9.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
147,2007,2007-11-04,9,30.264,NWE,@,IND,W 24-20,*,14,9,145,16.11,1,64.3%,10.36,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
148,2007,2007-11-18,10,30.278,NWE,@,BUF,W 56-10,*,13,10,128,12.80,4,76.9%,9.85,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,4,24,0.0,,,0,0,0
149,2007,2007-11-25,11,30.285,NWE,,PHI,W 31-28,*,12,5,43,8.60,0,41.7%,3.58,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
150,2007,2007-12-03,12,30.293,NWE,@,BAL,W 27-24,*,8,4,34,8.50,1,50.0%,4.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
151,2007,2007-12-09,13,30.299,NWE,,PIT,W 34-13,*,11,7,135,19.29,2,63.6%,12.27,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0.0,,,0,0,0
152,2007,2007-12-16,14,30.306,NWE,,NYJ,W 20-10,*,13,5,79,15.80,0,38.5%,6.08,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
153,2007,2007-12-23,15,30.313,NWE,,MIA,W 28-7,*,11,5,50,10.00,2,45.5%,4.55,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0.0,,,0,0,0
154,2007,2007-12-29,16,30.319,NWE,@,NYG,W 38-35,*,12,6,100,16.67,2,50.0%,8.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0.0,,,0,0,0
155,2008,2008-09-07,1,31.207,NWE,,KAN,W 17-10,*,7,6,116,19.33,1,85.7%,16.57,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,2,0,0,0,0
156,2008,2008-09-14,2,31.214,NWE,@,NYJ,W 19-10,*,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
157,2008,2008-09-21,3,31.221,NWE,,MIA,L 13-38,*,8,4,25,6.25,0,50.0%,3.13,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
158,2008,2008-10-05,4,31.235,NWE,@,SFO,W 30-21,*,7,5,111,22.20,1,71.4%,15.86,1,2,2.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,1,0,0,0,0
159,2008,2008-10-12,5,31.242,NWE,@,SDG,L 10-30,*,10,3,26,8.67,0,30.0%,2.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
160,2008,2008-10-20,6,31.250,NWE,,DEN,W 41-7,*,6,5,69,13.80,2,83.3%,11.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0
161,2008,2008-10-26,7,31.256,NWE,,STL,W 23-16,*,11,7,102,14.57,0,63.6%,9.27,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
162,2008,2008-11-02,8,31.263,NWE,@,IND,L 15-18,*,8,6,65,10.83,0,75.0%,8.13,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
163,2008,2008-11-09,9,31.270,NWE,,BUF,W 20-10,*,8,5,53,10.60,0,62.5%,6.63,1,-2,-2.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
164,2008,2008-11-13,10,31.274,NWE,,NYJ,L 31-34,*,7,3,26,8.67,1,42.9%,3.71,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0
165,2008,2008-11-23,11,31.284,NWE,@,MIA,W 48-28,*,13,8,125,15.63,3,61.5%,9.62,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,3,18,0.0,1,0,0,0,0
166,2008,2008-11-30,12,31.291,NWE,,PIT,L 10-33,*,11,4,45,11.25,0,36.4%,4.09,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
167,2008,2008-12-07,13,31.298,NWE,@,SEA,W 24-21,*,9,3,56,18.67,0,33.3%,6.22,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
168,2008,2008-12-14,14,31.305,NWE,@,OAK,W 49-26,*,7,5,67,13.40,2,71.4%,9.57,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0
169,2008,2008-12-21,15,31.312,NWE,,ARI,W 47-7,*,8,2,87,43.50,1,25.0%,10.88,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0
170,2008,2008-12-28,16,31.319,NWE,@,BUF,W 13-0,*,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
171,2009,2009-09-14,1,32.213,NWE,,BUF,W 25-24,*,16,12,141,11.75,0,75.0%,8.81,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
172,2009,2009-09-20,2,32.219,NWE,@,NYJ,L 9-16,*,7,4,24,6.00,0,57.1%,3.43,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,1,0,0,0,0
173,2009,2009-09-27,3,32.226,NWE,,ATL,W 26-10,*,16,10,116,11.60,0,62.5%,7.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
174,2009,2009-10-04,4,32.233,NWE,,BAL,W 27-21,*,5,3,50,16.67,1,60.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0
175,2009,2009-10-11,5,32.240,NWE,@,DEN,L 17-20,*,4,1,36,36.00,0,25.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,1,0,0
176,2009,2009-10-18,6,32.247,NWE,,TEN,W 59-0,*,10,8,129,16.13,3,80.0%,12.90,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,3,18,0.0,0,0,0,0,0
177,2009,2009-10-25,7,32.254,NWE,@,TAM,W 35-7,*,8,5,69,13.80,0,62.5%,8.63,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
178,2009,2009-11-08,8,32.268,NWE,,MIA,W 27-17,*,11,6,147,24.50,1,54.5%,13.36,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,1,8,0.0,0,0,0,0,0
179,2009,2009-11-15,9,32.275,NWE,@,IND,L 34-35,*,16,9,179,19.89,2,56.3%,11.19,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0
180,2009,2009-11-22,10,32.282,NWE,,NYJ,W 31-14,*,11,5,34,6.80,1,45.5%,3.09,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0
181,2009,2009-11-30,11,32.290,NWE,@,NOR,L 17-38,*,6,3,67,22.33,0,50.0%,11.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
182,2009,2009-12-06,12,32.296,NWE,@,MIA,L 21-22,*,5,2,66,33.00,1,40.0%,13.20,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0
183,2009,2009-12-13,13,32.303,NWE,,CAR,W 20-10,*,4,1,16,16.00,0,25.0%,4.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,2,0,0,0,0
184,2009,2009-12-20,14,32.310,NWE,@,BUF,W 17-10,*,7,5,70,14.00,1,71.4%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0
185,2009,2009-12-27,15,32.317,NWE,,JAX,W 35-7,*,5,4,45,11.25,3,80.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,3,18,0.0,0,0,0,0,0
186,2009,2010-01-03,16,32.324,NWE,@,HOU,L 27-34,*,6,5,75,15.00,0,83.3%,12.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
187,2010,2010-09-12,1,33.211,NWE,,CIN,W 38-24,*,8,5,59,11.80,0,62.5%,7.38,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
188,2010,2010-09-19,2,33.218,NWE,@,NYJ,L 14-28,*,10,2,38,19.00,1,20.0%,3.80,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,1,0,0,0,0
189,2010,2010-09-26,3,33.225,NWE,,BUF,W 38-30,,3,2,42,21.00,2,66.7%,14.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0.0,1,0,0,0,0
190,2010,2010-10-04,4,33.233,NWE,@,MIA,W 41-14,*,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,2010,2010-10-11,4,33.240,MIN,@,NYJ,L 20-29,*,10,4,81,20.25,1,40.0%,8.10,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0
192,2010,2010-10-17,5,33.246,MIN,,DAL,W 24-21,*,6,5,55,11.00,0,83.3%,9.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
193,2010,2010-10-24,6,33.253,MIN,@,GNB,L 24-28,*,7,3,30,10.00,1,42.9%,4.29,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,1,0,0,0,0
194,2010,2010-10-31,7,33.260,MIN,@,NWE,L 18-28,*,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
195,2010,2010-11-14,9,33.274,TEN,@,MIA,L 17-29,*,4,1,26,26.00,0,25.0%,6.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
196,2010,2010-11-21,10,33.281,TEN,,WAS,L 16-19,*,3,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,2010,2010-11-28,11,33.288,TEN,@,HOU,L 0-20,*,5,3,23,7.67,0,60.0%,4.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
198,2010,2010-12-05,12,33.295,TEN,,JAX,L 6-17,*,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
199,2010,2010-12-09,13,33.299,TEN,,IND,L 28-30,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2010,2010-12-19,14,33.309,TEN,,HOU,W 31-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2010,2010-12-26,15,33.316,TEN,@,KAN,L 14-34,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,2010,2011-01-02,16,33.323,TEN,@,IND,L 20-23,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
203,2012,2012-09-09,1,35.209,SFO,@,GNB,W 30-22,,4,4,47,11.75,1,100.0%,11.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0
204,2012,2012-09-16,2,35.216,SFO,,DET,W 27-19,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
205,2012,2012-09-23,3,35.223,SFO,@,MIN,L 13-24,*,6,3,27,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
206,2012,2012-09-30,4,35.230,SFO,@,NYJ,W 34-0,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
207,2012,2012-10-07,5,35.237,SFO,,BUF,W 45-3,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
208,2012,2012-10-14,6,35.244,SFO,,NYG,L 3-26,,3,2,75,37.50,0,66.7%,25.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
209,2012,2012-10-18,7,35.248,SFO,,SEA,W 13-6,,4,1,14,14.00,0,25.0%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
210,2012,2012-10-29,8,35.259,SFO,@,ARI,W 24-3,,1,1,47,47.00,1,100.0%,47.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0
211,2012,2012-11-11,9,35.272,SFO,,STL,T 24-24,,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
212,2012,2012-11-19,10,35.280,SFO,,CHI,W 32-7,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
213,2012,2012-11-25,11,35.286,SFO,@,NOR,W 31-21,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
214,2012,2012-12-02,12,35.293,SFO,@,STL,L 13-16,,5,3,30,10.00,0,60.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
215,2012,2012-12-09,13,35.300,SFO,,MIA,W 27-13,,4,2,30,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
216,2012,2012-12-16,14,35.307,SFO,@,NWE,W 41-34,*,4,2,36,18.00,1,50.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0
217,2012,2012-12-23,15,35.314,SFO,@,SEA,L 13-42,,6,3,44,14.67,0,50.0%,7.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
218,2012,2012-12-30,16,35.321,SFO,,ARI,W 27-13,,4,2,28,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0
