ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
193,1997,1997-08-31,1,36.009,MIA,,IND,W 16-10,0,0,,0,0,0,,0,0,0,,,,,,0,0,1,45,45.00,0
194,1997,1997-09-14,3,36.023,MIA,@,GNB,L 18-23,1,4,4.00,0,0,0,,0,0,0,,,,,,0,0,4,160,40.00,0
195,1997,1997-10-12,6,36.051,MIA,@,NYJ,W 31-20,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,174,43.50,0
196,1997,1997-10-19,7,36.058,MIA,@,BAL,W 24-13,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,73,36.50,0
197,1997,1997-10-27,8,36.066,MIA,,CHI,L 33-36,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,302,50.33,0
198,1997,1997-11-02,9,36.072,MIA,@,BUF,L 6-9,0,0,,0,0,0,,0,0,0,,,,,,0,0,7,298,42.57,0
199,1997,1997-11-09,10,36.079,MIA,,NYJ,W 24-17,0,0,,0,0,0,,0,0,0,,,,,,0,0,7,324,46.29,0
200,1997,1997-11-17,11,36.087,MIA,,BUF,W 30-13,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,122,40.67,0
201,1997,1997-11-23,12,36.093,MIA,@,NWE,L 24-27,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,111,37.00,0
202,1997,1997-11-30,13,36.100,MIA,@,OAK,W 34-16,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,114,38.00,0
203,1997,1997-12-07,14,36.107,MIA,,DET,W 33-30,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,212,42.40,0
204,1997,1997-12-14,15,36.114,MIA,@,IND,L 0-41,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,94,47.00,0
205,1997,1997-12-22,16,36.122,MIA,,NWE,L 12-14,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,218,43.60,0
206,1998,1998-10-04,5,37.043,DET,@,CHI,L 27-31,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,8,330,41.25,0
207,1998,1998-10-15,6,37.054,DET,,GNB,W 27-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,5,190,38.00,0
208,1998,1998-11-08,9,37.078,NYJ,,BUF,W 34-12,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2,67,33.50,0
209,1998,1998-11-15,10,37.085,NYJ,@,IND,L 23-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,4,189,47.25,0
210,1998,1998-11-22,11,37.092,NYJ,@,TEN,W 24-3,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,3,114,38.00,0
211,1998,1998-11-29,12,37.099,NYJ,,CAR,W 48-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,52,52.00,0
212,1998,1998-12-06,13,37.106,NYJ,,SEA,W 32-31,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,3,135,45.00,0
213,1998,1998-12-13,14,37.113,NYJ,@,MIA,W 21-16,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,5,213,42.60,0
214,1998,1998-12-19,15,37.119,NYJ,@,BUF,W 17-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,6,232,38.67,0
215,1998,1998-12-27,16,37.127,NYJ,,NWE,W 31-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,4,164,41.00,0
