ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td
127,1969,1969-09-14,1,35.172,BOS,@,DEN,L 7-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,,1,0.0,0,1,0,0,0
128,1969,1969-09-21,2,35.179,BOS,,KAN,L 0-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,1,0.0,0,0,0,0,0
129,1969,1969-09-28,3,35.186,BOS,,OAK,L 23-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,0
130,1969,1969-10-05,4,35.193,BOS,,NYJ,L 14-23,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,2,2,100.0,,,,0,2,,,
131,1969,1969-10-11,5,35.199,BOS,@,BUF,L 16-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,3,33.3,0,4,0,0,0
132,1969,1969-10-19,6,35.207,BOS,,SDG,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,3,33.3,0,4,0,0,0
133,1969,1969-10-26,7,35.214,BOS,@,NYJ,L 17-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,0
134,1969,1969-11-02,8,35.221,BOS,,HOU,W 24-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,3,33.3,0,6,0,0,0
135,1969,1969-11-09,9,35.228,BOS,,MIA,L 16-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,3,33.3,0,4,0,0,0
136,1969,1969-11-16,10,35.235,BOS,@,CIN,W 25-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,3,7,42.9,0,11,0,0,0
137,1969,1969-11-23,11,35.242,BOS,,BUF,W 35-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,5,5,100.0,,2,0.0,0,5,0,0,0
138,1969,1969-11-30,12,35.249,BOS,@,MIA,W 38-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,4,75.0,1,2,50.0,0,6,0,0,0
139,1969,1969-12-07,13,35.256,BOS,@,SDG,L 18-28,1,21,21.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,0
140,1969,1969-12-14,14,35.263,BOS,@,HOU,L 23-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,3,3,100.0,0,11,0,0,0
141,1970,1970-09-20,1,36.178,BOS,,MIA,W 27-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,2,3,66.7,0,9,0,0,0
142,1970,1970-09-27,2,36.185,BOS,,NYJ,L 21-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,,1,0.0,0,3,0,0,0
143,1970,1970-10-04,3,36.192,BOS,,BAL,L 6-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,2,5,40.0,0,6,0,0,0
144,1970,1970-10-11,4,36.199,BOS,@,KAN,L 10-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,0
145,1970,1970-10-18,5,36.206,BOS,,NYG,L 0-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,1,0.0,0,0,0,0,0
146,1970,1970-11-22,10,36.241,BOS,@,NYJ,L 3-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,1,2,50.0,0,3,0,0,0
147,1970,1970-11-29,11,36.248,BOS,@,BUF,W 14-10,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,2,2,100.0,,,,0,2,,,
148,1970,1970-12-06,12,36.255,BOS,@,MIA,L 20-37,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,3,66.7,,2,0.0,0,2,0,0,0
149,1970,1970-12-20,14,36.269,BOS,@,CIN,L 7-45,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,1,1,100.0,,,,0,1,,,
