ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
142,2004,2004-09-19,2,31.314,STL,@,ATL,L 17-34,*,13,8,102,12.75,0,61.5%,7.85,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
143,2004,2004-09-26,3,31.321,STL,,NOR,L 25-28,*,12,8,134,16.75,0,66.7%,11.17,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
144,2004,2004-10-03,4,31.328,STL,@,SFO,W 24-14,*,9,7,100,14.29,0,77.8%,11.11,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
145,2004,2004-10-10,5,31.335,STL,@,SEA,W 33-27,*,9,6,78,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
146,2004,2004-10-18,6,31.343,STL,,TAM,W 28-21,*,5,1,11,11.00,0,20.0%,2.20,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
147,2004,2004-10-24,7,31.349,STL,@,MIA,L 14-31,*,6,5,98,19.60,0,83.3%,16.33,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0.0,,
148,2004,2004-11-07,8,31.363,STL,,NWE,L 22-40,*,5,4,59,14.75,1,80.0%,11.80,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
149,2004,2004-11-14,9,32.004,STL,,SEA,W 23-12,*,9,7,104,14.86,0,77.8%,11.56,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
150,2004,2004-11-21,10,32.011,STL,@,BUF,L 17-37,*,11,3,58,19.33,1,27.3%,5.27,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
151,2004,2004-11-29,11,32.019,STL,@,GNB,L 17-45,*,16,9,170,18.89,1,56.3%,10.63,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
152,2004,2004-12-05,12,32.025,STL,,SFO,W 16-6,*,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
153,2004,2004-12-12,13,32.032,STL,@,CAR,L 7-20,*,9,3,27,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
154,2004,2004-12-19,14,32.039,STL,@,ARI,L 7-31,*,12,4,37,9.25,0,33.3%,3.08,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
155,2004,2004-12-27,15,32.047,STL,,PHI,W 20-7,*,9,8,98,12.25,1,88.9%,10.89,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
156,2004,2005-01-02,16,32.053,STL,,NYJ,W 32-29,*,7,5,86,17.20,1,71.4%,12.29,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,1,6,0.0,,
157,2005,2005-09-11,1,32.305,STL,@,SFO,L 25-28,*,6,3,61,20.33,1,50.0%,10.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
158,2005,2005-09-18,2,32.312,STL,@,ARI,W 17-12,*,8,5,64,12.80,0,62.5%,8.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
159,2005,2005-09-25,3,32.319,STL,,TEN,W 31-27,*,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
160,2005,2005-11-13,9,33.003,STL,@,SEA,L 16-31,*,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
161,2005,2005-11-20,10,33.010,STL,,ARI,L 28-38,,4,4,83,20.75,1,100.0%,20.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
162,2005,2005-11-27,11,33.017,STL,@,HOU,W 33-27,*,8,4,94,23.50,1,50.0%,11.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
163,2005,2005-12-04,12,33.024,STL,,WAS,L 9-24,*,9,4,33,8.25,0,44.4%,3.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
164,2005,2005-12-11,13,33.031,STL,@,MIN,L 13-27,*,14,5,66,13.20,0,35.7%,4.71,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
165,2005,2005-12-18,14,33.038,STL,,PHI,L 16-17,*,6,2,16,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
166,2005,2005-12-24,15,33.044,STL,,SFO,L 20-24,*,9,6,73,12.17,0,66.7%,8.11,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
167,2005,2006-01-01,16,33.052,STL,@,DAL,W 20-10,*,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
168,2006,2006-09-10,1,33.304,STL,,DEN,W 18-10,*,10,5,64,12.80,0,50.0%,6.40,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
169,2006,2006-09-17,2,33.311,STL,@,SFO,L 13-20,*,6,5,77,15.40,0,83.3%,12.83,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
170,2006,2006-09-24,3,33.318,STL,@,ARI,W 16-14,*,6,3,79,26.33,0,50.0%,13.17,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
171,2006,2006-10-01,4,33.325,STL,,DET,W 41-34,*,12,7,100,14.29,1,58.3%,8.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
172,2006,2006-10-08,5,33.332,STL,@,GNB,W 23-20,*,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
173,2006,2006-10-15,6,33.339,STL,,SEA,L 28-30,,8,5,45,9.00,0,62.5%,5.63,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
174,2006,2006-10-29,7,33.353,STL,@,SDG,L 24-38,*,7,5,105,21.00,0,71.4%,15.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
175,2006,2006-11-05,8,33.360,STL,,KAN,L 17-31,*,4,3,61,20.33,0,75.0%,15.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
176,2006,2006-11-12,9,34.002,STL,@,SEA,L 22-24,*,13,7,66,9.43,0,53.8%,5.08,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
177,2006,2006-11-19,10,34.009,STL,@,CAR,L 0-15,*,6,1,6,6.00,0,16.7%,1.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
178,2006,2006-11-26,11,34.016,STL,,SFO,W 20-17,*,9,6,63,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
179,2006,2006-12-03,12,34.023,STL,,ARI,L 20-34,*,10,5,75,15.00,1,50.0%,7.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
180,2006,2006-12-11,13,34.031,STL,,CHI,L 27-42,*,7,4,62,15.50,0,57.1%,8.86,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
181,2006,2006-12-17,14,34.037,STL,@,OAK,W 20-0,,6,3,58,19.33,0,50.0%,9.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
182,2006,2006-12-24,15,34.044,STL,,WAS,W 37-31,,10,9,148,16.44,1,90.0%,14.80,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
183,2006,2006-12-31,16,34.051,STL,@,MIN,W 41-21,*,9,4,66,16.50,0,44.4%,7.33,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0.0,,
184,2007,2007-09-09,1,34.303,STL,,CAR,L 13-27,*,9,3,20,6.67,0,33.3%,2.22,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
185,2007,2007-09-16,2,34.310,STL,,SFO,L 16-17,*,13,8,145,18.13,0,61.5%,11.15,1,-3,-3.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
186,2007,2007-09-23,3,34.317,STL,@,TAM,L 3-24,*,4,3,14,4.67,0,75.0%,3.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
187,2007,2007-09-30,4,34.324,STL,@,DAL,L 7-35,*,2,1,24,24.00,0,50.0%,12.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
188,2007,2007-10-21,7,34.345,STL,@,SEA,L 6-33,*,3,2,52,26.00,0,66.7%,17.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
189,2007,2007-10-28,8,34.352,STL,,CLE,L 20-27,*,9,6,70,11.67,0,66.7%,7.78,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
190,2007,2007-11-11,9,35.001,STL,@,NOR,W 37-29,*,6,4,62,15.50,1,66.7%,10.33,1,-1,-1.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
191,2007,2007-11-18,10,35.008,STL,@,SFO,W 13-9,*,10,5,54,10.80,0,50.0%,5.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
192,2007,2007-11-25,11,35.015,STL,,SEA,L 19-24,,9,6,63,10.50,1,66.7%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
193,2007,2007-12-02,12,35.022,STL,,ATL,W 28-16,*,7,4,31,7.75,1,57.1%,4.43,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
194,2007,2007-12-09,13,35.029,STL,@,CIN,L 10-19,*,6,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
195,2007,2007-12-16,14,35.036,STL,,GNB,L 14-33,,10,4,72,18.00,0,40.0%,7.20,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
196,2007,2007-12-20,15,35.040,STL,,PIT,L 24-41,*,9,7,87,12.43,1,77.8%,9.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
197,2007,2007-12-30,16,35.050,STL,@,ARI,L 19-48,*,4,2,39,19.50,0,50.0%,9.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
198,2008,2008-09-07,1,35.302,SFO,,ARI,L 13-23,*,,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,,,,
199,2008,2008-09-14,2,35.309,SFO,@,SEA,W 33-30,*,8,4,153,38.25,0,50.0%,19.13,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
200,2008,2008-09-21,3,35.316,SFO,,DET,W 31-13,*,4,2,19,9.50,1,50.0%,4.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,0,0
201,2008,2008-09-28,4,35.323,SFO,@,NOR,L 17-31,*,8,5,54,10.80,1,62.5%,6.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,0,0
202,2008,2008-10-05,5,35.330,SFO,,NWE,L 21-30,*,8,3,49,16.33,2,37.5%,6.13,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,2,12,0.0,0,0
203,2008,2008-10-12,6,35.337,SFO,,PHI,L 26-40,,6,2,28,14.00,0,33.3%,4.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
204,2008,2008-10-19,7,35.344,SFO,@,NYG,L 17-29,*,5,3,47,15.67,0,60.0%,9.40,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
205,2008,2008-10-26,8,35.351,SFO,,SEA,L 13-34,*,5,4,49,12.25,0,80.0%,9.80,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
206,2008,2008-11-10,9,36.000,SFO,@,ARI,L 24-29,*,7,2,14,7.00,0,28.6%,2.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
207,2008,2008-11-16,10,36.006,SFO,,STL,W 35-16,*,3,1,20,20.00,0,33.3%,6.67,1,-3,-3.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
208,2008,2008-11-23,11,36.013,SFO,@,DAL,L 22-35,*,10,8,125,15.63,1,80.0%,12.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,0,0
209,2008,2008-11-30,12,36.020,SFO,@,BUF,W 10-3,*,7,5,67,13.40,1,71.4%,9.57,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,0,0
210,2008,2008-12-07,13,36.027,SFO,,NYJ,W 24-14,*,10,6,70,11.67,0,60.0%,7.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
211,2008,2008-12-14,14,36.034,SFO,@,MIA,L 9-14,*,12,7,71,10.14,0,58.3%,5.92,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0.0,0,0
212,2008,2008-12-21,15,36.041,SFO,@,STL,W 17-16,*,12,7,61,8.71,1,58.3%,5.08,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,1,0
213,2008,2008-12-28,16,36.048,SFO,,WAS,W 27-24,*,3,2,8,4.00,0,66.7%,2.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
214,2009,2009-09-13,1,36.307,SFO,@,ARI,W 20-16,*,8,4,74,18.50,0,50.0%,9.25,1,-8,-8.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
215,2009,2009-09-20,2,36.314,SFO,,SEA,W 23-10,*,8,4,35,8.75,0,50.0%,4.38,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
216,2009,2009-09-27,3,36.321,SFO,@,MIN,L 24-27,*,5,2,38,19.00,0,40.0%,7.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
217,2009,2009-10-04,4,36.328,SFO,,STL,W 35-0,*,4,3,20,6.67,0,75.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
218,2009,2009-10-11,5,36.335,SFO,,ATL,L 10-45,*,4,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,
219,2009,2009-10-25,6,36.349,SFO,@,HOU,L 21-24,*,6,2,23,11.50,0,33.3%,3.83,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
220,2009,2009-11-01,7,36.356,SFO,@,IND,L 14-18,,8,4,51,12.75,0,50.0%,6.38,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,1,0
221,2009,2009-11-08,8,36.363,SFO,,TEN,L 27-34,,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
222,2009,2009-11-22,10,37.012,SFO,@,GNB,L 24-30,,4,1,20,20.00,0,25.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
223,2009,2010-01-03,16,37.054,SFO,@,STL,W 28-6,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,
