ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
144,1989,1989-10-01,4,32.093,PHO,,SDG,L 13-24,,2,61,30.50,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
145,1989,1989-10-08,5,32.100,PHO,@,WAS,L 28-30,,2,36,18.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
146,1989,1989-11-12,10,32.135,PHO,,DAL,W 24-20,,4,39,9.75,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
147,1989,1989-11-19,11,32.142,PHO,@,RAM,L 14-37,,4,38,9.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
148,1989,1989-11-26,12,32.149,PHO,,TAM,L 13-14,,4,62,15.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
149,1989,1989-12-03,13,32.156,PHO,,WAS,L 10-29,,8,116,14.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
150,1989,1989-12-10,14,32.163,PHO,@,RAI,L 14-16,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1989,1989-12-16,15,32.169,PHO,,DEN,L 0-37,,3,38,12.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
152,1989,1989-12-24,16,32.177,PHO,@,PHI,L 14-31,,3,63,21.00,2,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12,0,0,0
153,1990,1990-09-09,1,33.071,PHO,@,WAS,L 0-31,,2,20,10.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
154,1990,1990-09-16,2,33.078,PHO,@,PHI,W 23-21,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,
155,1990,1990-09-23,3,33.085,PHO,@,NOR,L 7-28,,4,61,15.25,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
156,1990,1990-09-30,4,33.092,PHO,,WAS,L 10-38,,4,56,14.00,1,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6,0,0,0
157,1990,1990-10-14,5,33.106,PHO,,DAL,W 20-3,,6,54,9.00,0,,,0,0,,0,1,1,100.00,20,0,0,118.7,0,0,20.00,20.00,0,0,,0,0,0,,0,0,0,0,0,0
158,1990,1990-10-21,6,33.113,PHO,@,NYG,L 19-20,,3,22,7.33,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
159,1990,1990-10-28,7,33.120,PHO,,CHI,L 21-31,,5,89,17.80,1,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6,0,0,0
160,1990,1990-11-04,8,33.127,PHO,@,MIA,L 3-23,,1,45,45.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
161,1990,1990-11-11,9,33.134,PHO,@,BUF,L 14-45,,1,21,21.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
162,1990,1990-11-18,10,33.141,PHO,,GNB,L 21-24,,4,102,25.50,1,,,0,0,,0,0,0,,0,0,0,,0,,,,1,15,15.00,0,0,0,,0,1,6,0,0,0
163,1990,1990-11-25,11,33.148,PHO,,NWE,W 34-14,,5,67,13.40,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
164,1990,1990-12-02,12,33.155,PHO,,IND,W 20-17,,2,12,6.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
165,1990,1990-12-09,13,33.162,PHO,@,ATL,W 24-13,,3,36,12.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
166,1990,1990-12-16,14,33.169,PHO,@,DAL,L 10-41,,2,26,13.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
167,1990,1990-12-23,15,33.176,PHO,,NYG,L 21-24,,8,147,18.38,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
168,1990,1990-12-29,16,33.182,PHO,,PHI,L 21-23,,3,39,13.00,1,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6,0,0,0
169,1991,1991-09-22,4,34.084,PHI,,PIT,W 23-14,,6,114,19.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
170,1991,1991-09-30,5,34.092,PHI,@,WAS,L 0-23,,2,14,7.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
171,1991,1991-10-06,6,34.098,PHI,@,TAM,L 13-14,,0,0,,0,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,
172,1991,1991-10-13,7,34.105,PHI,,NOR,L 6-13,,4,55,13.75,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
173,1991,1991-10-27,8,34.119,PHI,,SFO,L 7-23,,7,73,10.43,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
174,1991,1991-11-04,9,34.127,PHI,,NYG,W 30-7,,3,34,11.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
175,1991,1991-11-10,10,34.133,PHI,@,CLE,W 32-30,,1,9,9.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
176,1991,1991-11-17,11,34.140,PHI,,CIN,W 17-10,,1,4,4.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
177,1991,1991-11-24,12,34.147,PHI,@,PHO,W 34-14,,0,0,,0,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,
178,1991,1991-12-02,13,34.155,PHI,@,HOU,W 13-6,,3,44,14.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
179,1991,1991-12-08,14,34.161,PHI,@,NYG,W 19-14,,2,17,8.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
180,1991,1991-12-15,15,34.168,PHI,,DAL,L 13-25,,0,0,,0,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,
181,1991,1991-12-22,16,34.175,PHI,,WAS,W 24-22,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,,,,,5,70,14.00,0,0,0,,0,0,0,0,0,0
182,1992,1992-11-01,8,35.124,PHI,@,DAL,L 10-20,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
183,1992,1992-11-08,9,35.131,PHI,,RAI,W 31-10,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
184,1992,1992-11-15,10,35.138,PHI,@,GNB,L 24-27,2,2,31,15.50,0,100.0%,15.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
185,1992,1992-11-22,11,35.145,PHI,@,NYG,W 47-34,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
186,1992,1992-11-29,12,35.152,PHI,@,SFO,L 14-20,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,1992,1992-12-06,13,35.159,PHI,,MIN,W 28-17,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
188,1992,1992-12-13,14,35.166,PHI,@,SEA,W 20-17,3,1,20,20.00,0,33.3%,6.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
189,1992,1992-12-20,15,35.173,PHI,,WAS,W 17-13,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,1992,1992-12-27,16,35.180,PHI,,NYG,W 20-10,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
