ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
178,2007,2007-11-04,8,35.322,MIN,,SDG,W 35-17,,1,4,4.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
179,2007,2007-11-11,9,35.329,MIN,@,GNB,L 0-34,,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,0.0,,
180,2007,2007-11-18,10,35.336,MIN,,OAK,W 29-22,,0,0,,0,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,0.0,,
181,2007,2007-11-25,11,35.343,MIN,@,NYG,W 41-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
182,2007,2007-12-02,12,35.350,MIN,,DET,W 42-10,,1,2,2.00,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,0.0,,
183,2007,2007-12-09,13,35.357,MIN,@,SFO,W 27-7,,0,0,,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,0.0,,
184,2007,2007-12-17,14,36.000,MIN,,CHI,W 20-13,*,1,2,2.00,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,0.0,,
185,2007,2007-12-23,15,36.006,MIN,,WAS,L 21-32,,1,-1,-1.00,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,0.0,,
186,2007,2007-12-30,16,36.013,MIN,@,DEN,L 19-22,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
187,2008,2008-09-07,1,36.265,NYJ,@,MIA,W 20-14,,,,,,,,,,,0.0%,,,,,,,,,,
188,2008,2008-09-14,2,36.272,NYJ,,NWE,L 10-19,,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,0.0,0,0
189,2008,2008-09-22,3,36.280,NYJ,@,SDG,L 29-48,*,,,,,1,,,,,0.0%,,,,,,,,,,
190,2008,2008-09-28,4,36.286,NYJ,,ARI,W 56-35,,,,,,3,,,,,0.0%,,,,,,,,,,
191,2008,2008-10-12,5,36.300,NYJ,,CIN,W 26-14,,,,,,,,,,,0.0%,,,,,,,,,,
192,2008,2008-10-19,6,36.307,NYJ,@,OAK,L 13-16,,,,,,,,,,,0.0%,,,,,,,,,,
193,2008,2008-10-26,7,36.314,NYJ,,KAN,W 28-24,*,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0
194,2008,2008-11-02,8,36.321,NYJ,@,BUF,W 26-17,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
195,2008,2008-11-09,9,36.328,NYJ,,STL,W 47-3,*,,,,,1,,,,,0.0%,,,,,,,,,,
196,2008,2008-11-13,10,36.332,NYJ,@,NWE,W 34-31,*,,,,,,,,,,0.0%,,,,,,,,,,
197,2008,2008-11-23,11,36.342,NYJ,@,TEN,W 34-13,*,2,15,7.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
198,2008,2008-11-30,12,36.349,NYJ,,DEN,L 17-34,*,,,,,,,,,,0.0%,,,,,,,,,,
199,2008,2008-12-07,13,36.356,NYJ,@,SFO,L 14-24,,,,,,,,,,,0.0%,,,,,,,,,,
200,2008,2008-12-14,14,36.363,NYJ,,BUF,W 31-27,,2,13,6.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
201,2008,2008-12-21,15,37.004,NYJ,@,SEA,L 3-13,,5,34,6.80,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
202,2008,2008-12-28,16,37.011,NYJ,,MIA,L 17-24,*,,,,,1,,,,,0.0%,,,,,,,,,,
203,2009,2009-09-13,1,37.270,NYJ,@,HOU,W 24-7,*,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
204,2009,2009-09-20,2,37.277,NYJ,,NWE,W 16-9,*,,,,,,,,,,0.0%,,,,,,,,,,
205,2009,2009-09-27,3,37.284,NYJ,,TEN,W 24-17,*,1,7,7.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
206,2009,2009-10-04,4,37.291,NYJ,@,NOR,L 10-24,*,,,,,,,,,,0.0%,,,,,,,,,,
207,2009,2009-10-12,5,37.299,NYJ,@,MIA,L 27-31,,,,,,,,,,,0.0%,,,,,,,,,,
208,2009,2009-10-18,6,37.305,NYJ,,BUF,L 13-16,*,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
209,2009,2009-10-25,7,37.312,NYJ,@,OAK,W 38-0,*,,,,,,,,,,0.0%,,,,,,,,,,
210,2009,2009-11-01,8,37.319,NYJ,,MIA,L 25-30,,0,0,,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,0.0,0,0
211,2009,2009-11-15,9,37.333,NYJ,,JAX,L 22-24,*,,,,,,,,,,0.0%,,,,,,,,,,
212,2009,2009-11-22,10,37.340,NYJ,@,NWE,L 14-31,*,1,0,0.00,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,0.0,0,0
213,2009,2009-11-29,11,37.347,NYJ,,CAR,W 17-6,,,,,,1,,,,,0.0%,,,,,,,,,,
214,2009,2009-12-03,12,37.351,NYJ,@,BUF,W 19-13,,2,36,18.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
215,2009,2009-12-13,13,37.361,NYJ,@,TAM,W 26-3,,,,,,0,,,,,0.0%,,,,,,,,,,
216,2009,2009-12-20,14,38.003,NYJ,,ATL,L 7-10,*,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0
217,2009,2009-12-27,15,38.010,NYJ,@,IND,W 29-15,,0,0,,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,0.0,0,0
218,2009,2010-01-03,16,38.017,NYJ,,CIN,W 37-0,*,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
219,2010,2010-09-13,1,38.270,NYJ,,BAL,L 9-10,,0,0,,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,0.0,0,0
220,2010,2010-09-19,2,38.276,NYJ,,NWE,W 28-14,,,,,,,,,,,0.0%,,,,,,,,,,
221,2010,2010-09-26,3,38.283,NYJ,@,MIA,W 31-23,*,,,,,,,,,,0.0%,,,,,,,,,,
222,2010,2010-10-03,4,38.290,NYJ,@,BUF,W 38-14,*,,,,,,,,,,0.0%,,,,,,,,,,
223,2010,2010-10-11,5,38.298,NYJ,,MIN,W 29-20,*,,,,,0,,,,,0.0%,,,,,,,,,,
224,2010,2010-10-17,6,38.304,NYJ,@,DEN,W 24-20,*,,,,,,,,,,0.0%,,,,,,,,,,
225,2010,2010-10-31,7,38.318,NYJ,,GNB,L 0-9,*,,,,,,,,,,0.0%,,,,,,,,,,
226,2010,2010-11-07,8,38.325,NYJ,@,DET,W 23-20,*,,,,,,,,,,0.0%,,,,,,,,,,
227,2010,2010-11-14,9,38.332,NYJ,@,CLE,W 26-20,*,0,0,,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,0.0,0,0
228,2010,2010-11-21,10,38.339,NYJ,,HOU,W 30-27,*,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
229,2010,2010-11-25,11,38.343,NYJ,,CIN,W 26-10,,,,,,,,,,,0.0%,,,,,,,,,,
230,2010,2010-12-06,12,38.354,NYJ,@,NWE,L 3-45,,,,,,,,,,,0.0%,,,,,,,,,,
231,2010,2010-12-12,13,38.360,NYJ,,MIA,L 6-10,*,,,,,,,,,,0.0%,,,,,,,,,,
232,2010,2010-12-19,14,39.002,NYJ,@,PIT,W 22-17,,,,,,,,,,,0.0%,,,,,,,,,,
233,2010,2010-12-26,15,39.009,NYJ,@,CHI,L 34-38,*,2,5,2.50,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,0,0
234,2010,2011-01-02,16,39.016,NYJ,,BUF,W 38-7,,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
