ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
155,1984,1984-12-09,15,35.091,WAS,@,DAL,W 30-28,*,17,31,54.84,205,1,0,86.1,8,57,6.61,7.26,6,18,3.00,0,0,0,,0,0,0,0,0,,0
156,1984,1984-12-16,16,35.098,WAS,,STL,W 29-27,*,20,35,57.14,298,2,1,92.3,6,38,8.51,8.37,5,20,4.00,0,0,0,,0,0,0,0,0,,0
157,1985,1985-09-09,1,36.000,WAS,@,DAL,L 14-44,*,15,35,42.86,206,1,5,32.3,1,6,5.89,0.03,2,3,1.50,0,0,0,,0,0,0,0,0,,0
158,1985,1985-09-15,2,36.006,WAS,,HOU,W 16-13,*,15,22,68.18,138,1,1,81.3,5,45,6.27,5.14,2,9,4.50,0,0,0,,0,0,0,0,0,,0
159,1985,1985-09-22,3,36.013,WAS,,PHI,L 6-19,*,15,34,44.12,124,0,1,41.8,1,7,3.65,2.32,1,25,25.00,0,0,0,,0,0,0,0,0,,0
160,1985,1985-09-29,4,36.020,WAS,@,CHI,L 10-45,*,21,39,53.85,209,0,2,47.9,4,25,5.36,3.05,4,7,1.75,0,0,0,,0,0,0,1,1,1.00,0
161,1985,1985-10-07,5,36.028,WAS,,STL,W 27-10,*,11,20,55.00,83,2,0,98.5,2,16,4.15,6.15,3,12,4.00,1,0,0,,0,1,6,0,0,,0
162,1985,1985-10-13,6,36.034,WAS,,DET,W 24-3,*,18,25,72.00,153,0,0,87.6,3,30,6.12,6.12,1,0,0.00,0,0,0,,0,0,0,0,0,,0
163,1985,1985-10-20,7,36.041,WAS,@,NYG,L 3-17,*,22,38,57.89,272,0,3,47.3,7,65,7.16,3.61,0,0,,0,0,0,,0,0,0,0,0,,0
164,1985,1985-10-27,8,36.048,WAS,@,CLE,W 14-7,*,16,23,69.57,166,1,1,86.5,2,24,7.22,6.13,4,5,1.25,0,0,0,,0,0,0,0,0,,0
165,1985,1985-11-03,9,36.055,WAS,@,ATL,W 44-10,*,13,24,54.17,178,1,0,92.0,3,24,7.42,8.25,3,16,5.33,1,0,0,,0,1,6,0,0,,0
166,1985,1985-11-10,10,36.062,WAS,,DAL,L 7-13,*,14,31,45.16,195,1,3,37.1,6,52,6.29,2.58,4,29,7.25,0,0,0,,0,0,0,0,0,,0
167,1985,1985-11-18,11,36.070,WAS,,NYG,W 23-21,*,7,10,70.00,50,1,0,114.6,3,20,5.00,7.00,1,9,9.00,0,0,0,,0,0,0,0,0,,0
