ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
255,2007,2007-12-23,15,38.338,NWE,,MIA,W 28-7,*,0,0,0,,0,0.0%,,0.5,,,0,0,0
256,2007,2007-12-29,16,38.344,NWE,@,NYG,W 38-35,*,0,,,,,0.0%,,,,,,,
257,2008,2008-12-07,13,39.323,NWE,@,SEA,W 24-21,,0,0,0,,0,0.0%,,0.0,1,0,0,0,0
258,2008,2008-12-14,14,39.330,NWE,@,OAK,W 49-26,,0,0,0,,0,0.0%,,0.0,5,0,0,0,0
259,2008,2008-12-21,15,39.337,NWE,,ARI,W 47-7,*,0,0,0,,0,0.0%,,0.0,5,2,0,0,0
260,2008,2008-12-28,16,39.344,NWE,@,BUF,W 13-0,*,0,0,0,,0,0.0%,,0.0,4,5,0,0,0
261,2009,2009-10-18,6,40.272,NWE,,TEN,W 59-0,,0,0,0,,0,0.0%,,0.0,2,0,0,0,0
262,2009,2009-10-25,7,40.279,NWE,@,TAM,W 35-7,,0,0,0,,0,0.0%,,0.0,1,1,0,0,0
263,2009,2009-12-06,12,40.321,NWE,@,MIA,L 21-22,,0,0,0,,0,0.0%,,0.0,2,0,0,0,0
264,2009,2009-12-13,13,40.328,NWE,,CAR,W 20-10,,0,0,0,,0,0.0%,,0.0,0,2,0,0,0
265,2009,2009-12-20,14,40.335,NWE,@,BUF,W 17-10,,0,0,0,,0,0.0%,,0.0,1,2,0,0,0
266,2009,2009-12-27,15,40.342,NWE,,JAX,W 35-7,,0,0,0,,0,0.0%,,0.0,1,0,0,0,0
267,2009,2010-01-03,16,40.349,NWE,@,HOU,L 27-34,,0,0,0,,0,0.0%,,0.0,2,0,0,0,0
