ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
183,2008,2008-11-02,8,34.267,CHI,,DET,W 27-23,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,7,266,38.00,0
184,2008,2008-11-09,9,34.274,CHI,,TEN,L 14-21,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,8,313,39.13,0
185,2008,2008-11-16,10,34.281,CHI,@,GNB,L 3-37,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,6,239,39.83,0
186,2008,2008-11-23,11,34.288,CHI,@,STL,W 27-3,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,5,221,44.20,0
187,2008,2008-11-30,12,34.295,CHI,@,MIN,L 14-34,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,9,360,40.00,0
188,2008,2008-12-07,13,34.302,CHI,,JAX,W 23-10,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,6,267,44.50,0
189,2008,2008-12-11,14,34.306,CHI,,NOR,W 27-24,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0.0,0,0,5,216,43.20,0
190,2008,2008-12-22,15,34.317,CHI,,GNB,W 20-17,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,6,275,45.83,0
191,2008,2008-12-28,16,34.323,CHI,@,HOU,L 24-31,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,6,226,37.67,0
192,2009,2009-09-13,1,35.216,CHI,@,GNB,L 15-21,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,4,198,49.50,0
193,2009,2009-09-20,2,35.223,CHI,,PIT,W 17-14,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,6,275,45.83,0
194,2009,2009-09-27,3,35.230,CHI,@,SEA,W 25-19,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,4,165,41.25,0
195,2009,2009-10-04,4,35.237,CHI,,DET,W 48-24,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,4,152,38.00,0
196,2009,2009-10-18,5,35.251,CHI,@,ATL,L 14-21,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,4,151,37.75,0
197,2009,2009-10-25,6,35.258,CHI,@,CIN,L 10-45,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,3,117,39.00,0
198,2009,2009-11-01,7,35.265,CHI,,CLE,W 30-6,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,5,152,30.40,0
199,2009,2009-11-08,8,35.272,CHI,,ARI,L 21-41,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,4,161,40.25,0
200,2009,2009-11-12,9,35.276,CHI,@,SFO,L 6-10,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,4,176,44.00,0
201,2009,2009-11-22,10,35.286,CHI,,PHI,L 20-24,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,6,272,45.33,0
202,2009,2009-11-29,11,35.293,CHI,@,MIN,L 10-36,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,5,221,44.20,0
203,2009,2009-12-06,12,35.300,CHI,,STL,W 17-9,,1,1,100.00,0,0,0,79.2,0,0,0.00,0.00,0,0,,0,0.0,0,0,7,299,42.71,0
204,2009,2009-12-13,13,35.307,CHI,,GNB,L 14-21,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,6,217,36.17,0
205,2009,2009-12-20,14,35.314,CHI,@,BAL,L 7-31,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,5,213,42.60,0
206,2009,2009-12-28,15,35.322,CHI,,MIN,W 36-30,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,5,228,45.60,0
207,2009,2010-01-03,16,35.328,CHI,@,DET,W 37-23,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,5,174,34.80,0
208,2010,2010-09-12,1,36.215,CHI,,DET,W 19-14,,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,5,151,30.20,0
209,2010,2010-09-19,2,36.222,CHI,@,DAL,W 27-20,,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,6,236,39.33,0
210,2010,2010-09-27,3,36.230,CHI,,GNB,W 20-17,,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,2,97,48.50,0
211,2010,2010-10-03,4,36.236,CHI,@,NYG,L 3-17,,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,9,375,41.67,0
212,2010,2010-10-10,5,36.243,CHI,@,CAR,W 23-6,,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,6,234,39.00,0
213,2010,2010-10-17,6,36.250,CHI,,SEA,L 20-23,,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,8,305,38.13,0
214,2010,2010-10-24,7,36.257,CHI,,WAS,L 14-17,,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,7,254,36.29,0
215,2010,2010-11-07,8,36.271,CHI,@,BUF,W 22-19,,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,4,166,41.50,0
216,2010,2010-11-14,9,36.278,CHI,,MIN,W 27-13,,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,4,154,38.50,0
217,2010,2010-11-18,10,36.282,CHI,@,MIA,W 16-0,,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,4,175,43.75,0
218,2010,2010-11-28,11,36.292,CHI,,PHI,W 31-26,,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,5,218,43.60,0
219,2010,2010-12-05,12,36.299,CHI,@,DET,W 24-20,,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,3,135,45.00,0
220,2010,2010-12-12,13,36.306,CHI,,NWE,L 7-36,,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,5,161,32.20,0
221,2010,2010-12-20,14,36.314,CHI,@,MIN,W 40-14,,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,3,125,41.67,0
222,2010,2010-12-26,15,36.320,CHI,,NYJ,W 38-34,,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,4,176,44.00,0
223,2010,2011-01-02,16,36.327,CHI,@,GNB,L 3-10,,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,8,364,45.50,0
224,2011,2011-09-18,2,37.221,CLE,@,IND,W 27-19,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,5,201,40.20,0
225,2011,2011-09-25,3,37.228,CLE,,MIA,W 17-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,5,211,42.20,0
226,2011,2011-10-02,4,37.235,CLE,,TEN,L 13-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,4,155,38.75,0
227,2011,2011-10-16,5,37.249,CLE,@,OAK,L 17-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,6,271,45.17,0
228,2011,2011-10-23,6,37.256,CLE,,SEA,W 6-3,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,5,193,38.60,0
229,2011,2011-10-30,7,37.263,CLE,@,SFO,L 10-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,6,264,44.00,0
230,2011,2011-11-06,8,37.270,CLE,@,HOU,L 12-30,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,4,175,43.75,0
231,2011,2011-11-13,9,37.277,CLE,,STL,L 12-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,1,5,208,41.60,0
232,2011,2011-11-20,10,37.284,CLE,,JAX,W 14-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,3,108,36.00,0
233,2011,2011-11-27,11,37.291,CLE,@,CIN,L 20-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,5,215,43.00,0
234,2011,2011-12-04,12,37.298,CLE,,BAL,L 10-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,8,317,39.63,0
235,2011,2011-12-08,13,37.302,CLE,@,PIT,L 3-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,6,205,34.17,0
236,2011,2011-12-18,14,37.312,CLE,@,ARI,L 17-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,7,278,39.71,0
237,2011,2011-12-24,15,37.318,CLE,@,BAL,L 14-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,6,251,41.83,0
238,2011,2012-01-01,16,37.326,CLE,,PIT,L 9-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,6,230,38.33,0
