ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
161,2013,2013-09-15,2,31.132,DAL,@,KAN,L 16-17,*,8,3,12,4.00,0,37.5%,1.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
162,2013,2013-09-22,3,31.139,DAL,,STL,W 31-7,*,6,5,67,13.40,0,83.3%,11.17,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
163,2013,2013-09-29,4,31.146,DAL,@,SDG,L 21-30,*,10,5,43,8.60,0,50.0%,4.30,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
164,2013,2013-10-06,5,31.153,DAL,,DEN,L 48-51,*,10,7,121,17.29,1,70.0%,12.10,0,0,,0,0,0,,0,0,,,,1,6,0.0,1,0
165,2013,2013-10-13,6,31.160,DAL,,WAS,W 31-16,*,5,3,27,9.00,0,60.0%,5.40,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
166,2013,2013-10-20,7,31.167,DAL,@,PHI,W 17-3,*,6,4,48,12.00,0,66.7%,8.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
167,2013,2013-10-27,8,31.174,DAL,@,DET,L 30-31,*,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
168,2013,2013-11-03,9,31.181,DAL,,MIN,W 27-23,*,10,8,102,12.75,1,80.0%,10.20,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
169,2013,2013-11-10,10,31.188,DAL,@,NOR,L 17-49,*,6,2,27,13.50,0,33.3%,4.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
170,2013,2013-11-24,11,31.202,DAL,@,NYG,W 24-21,*,7,4,37,9.25,2,57.1%,5.29,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0
171,2013,2013-11-28,12,31.206,DAL,,OAK,W 31-24,*,3,3,53,17.67,0,100.0%,17.67,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
172,2013,2013-12-09,13,31.217,DAL,@,CHI,L 28-45,*,3,1,10,10.00,1,33.3%,3.33,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
173,2013,2013-12-15,14,31.223,DAL,,GNB,L 36-37,*,8,4,71,17.75,1,50.0%,8.88,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
174,2013,2013-12-22,15,31.230,DAL,@,WAS,W 24-23,*,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
175,2013,2013-12-29,16,31.237,DAL,,PHI,L 22-24,*,16,12,135,11.25,0,75.0%,8.44,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0
176,2014,2014-09-07,1,32.124,DAL,,SFO,L 17-28,*,6,2,14,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
177,2014,2014-09-14,2,32.131,DAL,@,TEN,W 26-10,*,7,4,32,8.00,0,57.1%,4.57,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
178,2014,2014-09-21,3,32.138,DAL,@,STL,W 34-31,*,5,4,49,12.25,0,80.0%,9.80,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
179,2014,2014-09-28,4,32.145,DAL,,NOR,W 38-17,*,5,5,61,12.20,0,100.0%,12.20,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
180,2014,2014-10-05,5,32.152,DAL,,HOU,W 20-17,*,5,4,59,14.75,0,80.0%,11.80,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
181,2014,2014-10-12,6,32.159,DAL,@,SEA,W 30-23,*,5,2,24,12.00,1,40.0%,4.80,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
182,2014,2014-10-19,7,32.166,DAL,,NYG,W 31-21,*,2,2,27,13.50,0,100.0%,13.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
183,2014,2014-10-27,8,32.174,DAL,,WAS,L 17-20,*,8,5,70,14.00,1,62.5%,8.75,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
184,2014,2014-11-02,9,32.180,DAL,,ARI,L 17-28,*,7,6,62,10.33,0,85.7%,8.86,0,0,,0,0,0,,0,0,,,,0,0,0.0,2,0
185,2014,2014-11-09,10,32.187,DAL,@,JAX,W 31-17,*,7,5,33,6.60,1,71.4%,4.71,0,0,,0,0,0,,0,0,,,,1,6,0.0,1,0
186,2014,2014-11-23,11,32.201,DAL,@,NYG,W 31-28,*,6,4,30,7.50,1,66.7%,5.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
187,2014,2014-11-27,12,32.205,DAL,,PHI,L 10-33,*,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
188,2014,2014-12-04,13,32.212,DAL,@,CHI,W 41-28,*,3,2,26,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
189,2014,2014-12-14,14,32.222,DAL,@,PHI,W 38-27,*,9,7,69,9.86,0,77.8%,7.67,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
190,2014,2014-12-21,15,32.229,DAL,,IND,W 42-7,*,7,7,90,12.86,1,100.0%,12.86,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
191,2014,2014-12-28,16,32.236,DAL,@,WAS,W 44-17,*,6,4,49,12.25,0,66.7%,8.17,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
192,2015,2015-09-13,1,33.130,DAL,,NYG,W 27-26,*,9,8,60,7.50,2,88.9%,6.67,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0
193,2015,2015-09-20,2,33.137,DAL,@,PHI,W 20-10,*,8,7,56,8.00,0,87.5%,7.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
194,2015,2015-09-27,3,33.144,DAL,,ATL,L 28-39,*,8,6,65,10.83,0,75.0%,8.13,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
195,2015,2015-10-04,4,33.151,DAL,@,NOR,L 20-26,*,6,4,57,14.25,0,66.7%,9.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
196,2015,2015-10-11,5,33.158,DAL,,NWE,L 6-30,*,6,5,33,6.60,0,83.3%,5.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
197,2015,2015-10-25,6,33.172,DAL,@,NYG,L 20-27,*,8,6,73,12.17,0,75.0%,9.13,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
198,2015,2015-11-01,7,33.179,DAL,,SEA,L 12-13,*,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
199,2015,2015-11-08,8,33.186,DAL,,PHI,L 27-33,*,8,6,43,7.17,0,75.0%,5.38,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
200,2015,2015-11-15,9,33.193,DAL,@,TAM,L 6-10,*,5,5,42,8.40,0,100.0%,8.40,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
201,2015,2015-11-22,10,33.200,DAL,@,MIA,W 24-14,*,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
202,2015,2015-11-26,11,33.204,DAL,,CAR,L 14-33,*,6,4,36,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
203,2015,2015-12-07,12,33.215,DAL,@,WAS,W 19-16,*,9,5,46,9.20,0,55.6%,5.11,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
204,2015,2015-12-13,13,33.221,DAL,@,GNB,L 7-28,*,9,5,40,8.00,0,55.6%,4.44,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
205,2015,2015-12-19,14,33.227,DAL,,NYJ,L 16-19,*,5,5,49,9.80,0,100.0%,9.80,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
206,2015,2015-12-27,15,33.235,DAL,@,BUF,L 6-16,*,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
207,2015,2016-01-03,16,33.242,DAL,,WAS,L 23-34,*,8,6,58,9.67,1,75.0%,7.25,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
208,2016,2016-09-11,1,34.128,DAL,,NYG,L 19-20,*,14,9,66,7.33,0,64.3%,4.71,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
209,2016,2016-09-18,2,34.135,DAL,@,WAS,W 27-23,*,4,3,51,17.00,0,75.0%,12.75,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
210,2016,2016-09-25,3,34.142,DAL,,CHI,W 31-17,*,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
211,2016,2016-10-02,4,34.149,DAL,@,SFO,W 24-17,*,9,7,47,6.71,0,77.8%,5.22,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
212,2016,2016-10-09,5,34.156,DAL,,CIN,W 28-14,*,5,3,43,14.33,0,60.0%,8.60,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
213,2016,2016-10-16,6,34.163,DAL,@,GNB,W 30-16,*,8,4,42,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
214,2016,2016-10-30,7,34.177,DAL,,PHI,W 29-23,*,3,2,16,8.00,1,66.7%,5.33,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
215,2016,2016-11-06,8,34.184,DAL,@,CLE,W 35-10,*,10,8,134,16.75,1,80.0%,13.40,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
216,2016,2016-11-13,9,34.191,DAL,@,PIT,W 35-30,*,8,6,59,9.83,0,75.0%,7.38,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
217,2016,2016-11-20,10,34.198,DAL,,BAL,W 27-17,*,7,5,37,7.40,0,71.4%,5.29,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
218,2016,2016-11-24,11,34.202,DAL,,WAS,W 31-26,*,3,3,33,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
219,2016,2016-12-01,12,34.209,DAL,@,MIN,W 17-15,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
220,2016,2016-12-11,13,34.219,DAL,@,NYG,L 7-10,*,7,4,26,6.50,0,57.1%,3.71,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
221,2016,2016-12-18,14,34.226,DAL,,TAM,W 26-20,*,10,10,51,5.10,0,100.0%,5.10,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
222,2016,2016-12-26,15,34.234,DAL,,DET,W 42-21,*,4,2,33,16.50,1,50.0%,8.25,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
223,2016,2017-01-01,16,34.240,DAL,@,PHI,L 13-27,*,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
224,2017,2017-09-10,1,35.127,DAL,,NYG,W 19-3,*,9,7,59,8.43,1,77.8%,6.56,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
225,2017,2017-09-17,2,35.134,DAL,@,DEN,L 17-42,*,13,10,97,9.70,1,76.9%,7.46,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
226,2017,2017-09-25,3,35.142,DAL,@,ARI,W 28-17,*,4,1,3,3.00,0,25.0%,0.75,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
227,2017,2017-10-01,4,35.148,DAL,,LAR,L 30-35,*,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
228,2017,2017-10-08,5,35.155,DAL,,GNB,L 31-35,*,10,8,61,7.63,0,80.0%,6.10,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
229,2017,2017-10-22,6,35.169,DAL,@,SFO,W 40-10,*,4,4,54,13.50,1,100.0%,13.50,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
230,2017,2017-10-29,7,35.176,DAL,@,WAS,W 33-19,*,5,3,31,10.33,0,60.0%,6.20,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
231,2017,2017-11-05,8,35.183,DAL,,KAN,W 28-17,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
232,2017,2017-11-12,9,35.190,DAL,@,ATL,L 7-27,*,7,7,59,8.43,0,100.0%,8.43,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
233,2017,2017-11-19,10,35.197,DAL,,PHI,L 9-37,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
234,2017,2017-11-23,11,35.201,DAL,,LAC,L 6-28,*,7,7,44,6.29,0,100.0%,6.29,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
235,2017,2017-11-30,12,35.208,DAL,,WAS,W 38-14,*,5,1,8,8.00,1,20.0%,1.60,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
236,2017,2017-12-10,13,35.218,DAL,@,NYG,W 30-10,*,2,1,20,20.00,1,50.0%,10.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
237,2017,2017-12-17,14,35.225,DAL,@,OAK,W 20-17,*,5,4,47,11.75,0,80.0%,9.40,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
238,2017,2017-12-24,15,35.232,DAL,,SEA,L 12-21,*,9,5,39,7.80,0,55.6%,4.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
239,2017,2017-12-31,16,35.239,DAL,@,PHI,W 6-0,*,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
