ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
163,1974,1974-12-08,13,33.065,KAN,,OAK,L 6-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,120,40.00,0
164,1974,1974-12-14,14,33.071,KAN,,MIN,L 15-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,149,49.67,0
165,1975,1975-09-21,1,33.352,KAN,@,DEN,L 33-37,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,187,37.40,0
166,1975,1975-09-28,2,33.359,KAN,,NYJ,L 24-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,169,42.25,0
167,1975,1975-10-05,3,34.001,KAN,,SFO,L 3-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,187,46.75,0
168,1975,1975-10-12,4,34.008,KAN,,OAK,W 42-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,113,37.67,0
169,1975,1975-10-19,5,34.015,KAN,@,SDG,W 12-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,201,40.20,0
170,1975,1975-10-26,6,34.022,KAN,,DEN,W 26-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,294,49.00,0
171,1975,1975-11-02,7,34.029,KAN,,HOU,L 13-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,8,355,44.38,0
172,1975,1975-11-10,8,34.037,KAN,@,DAL,W 34-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,292,41.71,0
173,1975,1975-11-16,9,34.043,KAN,@,PIT,L 3-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,263,43.83,0
174,1975,1975-11-23,10,34.050,KAN,,DET,W 24-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,79,19.75,1
175,1975,1975-11-30,11,34.057,KAN,@,BAL,L 14-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,93,46.50,0
176,1976,1976-09-12,1,34.344,KAN,,SDG,L 16-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,158,52.67,0
177,1976,1976-09-20,2,34.352,KAN,,OAK,L 21-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,208,41.60,0
178,1976,1976-09-26,3,34.358,KAN,,NOR,L 17-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,244,40.67,0
179,1976,1976-10-03,4,34.365,KAN,@,BUF,L 17-50,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,176,44.00,0
180,1976,1976-10-10,5,35.006,KAN,@,WAS,W 33-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,169,42.25,0
181,1976,1976-10-17,6,35.013,KAN,@,MIA,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,267,38.14,0
182,1976,1976-10-24,7,35.020,KAN,,DEN,L 26-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,77,38.50,0
183,1976,1976-10-31,8,35.027,KAN,@,TAM,W 28-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,131,43.67,0
184,1976,1976-11-07,9,35.034,KAN,,PIT,L 0-45,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,179,35.80,0
185,1976,1976-11-14,10,35.041,KAN,@,OAK,L 10-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,193,48.25,0
186,1976,1976-11-21,11,35.048,KAN,,CIN,L 24-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,8,317,39.63,0
187,1976,1976-11-28,12,35.055,KAN,@,SDG,W 23-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,218,43.60,0
188,1976,1976-12-05,13,35.062,KAN,@,DEN,L 16-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,278,46.33,1
189,1976,1976-12-12,14,35.069,KAN,,CLE,W 39-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,114,38.00,0
190,1977,1977-09-18,1,35.349,KAN,@,NWE,L 17-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,239,39.83,0
191,1977,1977-09-25,2,35.356,KAN,,SDG,L 7-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,8,333,41.63,0
192,1977,1977-10-03,3,35.364,KAN,,OAK,L 28-37,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,284,40.57,0
193,1977,1977-10-09,4,36.005,KAN,@,DEN,L 7-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,8,350,43.75,0
194,1977,1977-10-16,5,36.012,KAN,,BAL,L 6-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,189,37.80,1
195,1977,1977-10-23,6,36.019,KAN,@,SDG,W 21-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,305,43.57,0
196,1977,1977-10-30,7,36.026,KAN,@,CLE,L 7-44,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,8,283,35.38,0
197,1977,1977-11-06,8,36.033,KAN,,GNB,W 20-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,244,40.67,0
198,1977,1977-11-13,9,36.040,KAN,@,CHI,L 27-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,172,34.40,0
199,1977,1977-11-20,10,36.047,KAN,,DEN,L 7-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,8,330,41.25,0
200,1977,1977-11-27,11,36.054,KAN,@,HOU,L 20-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,266,38.00,0
201,1977,1977-12-04,12,36.061,KAN,,CIN,L 7-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,269,38.43,0
202,1977,1977-12-11,13,36.068,KAN,,SEA,L 31-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,130,43.33,0
203,1977,1977-12-18,14,36.075,KAN,@,OAK,L 20-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,116,38.67,0
204,1978,1978-09-10,2,36.341,NWE,@,STL,W 16-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,71,35.50,0
205,1978,1978-09-18,,36.349,NWE,N,BAL,,,,,,,,,,,,,,,,,,,,,,,,,5,159,31.80,0
206,1978,1978-09-24,,36.355,NWE,N,OAK,,,,,,,,,,,,,,,,,,,,,,,,,4,153,38.25,0
207,1978,1978-10-01,,36.362,NWE,N,SDG,,,,,,,,,,,,,,,,,,,,,,,,,6,246,41.00,0
208,1978,1978-10-08,,37.004,NWE,N,PHI,,,,,,,,,,,,,,,,,,,,,,,,,3,90,30.00,0
209,1978,1978-10-15,,37.011,NWE,N,CIN,,,,,,,,,,,,,,,,,,,,,,,,,6,222,37.00,0
210,1978,1978-10-22,,37.018,NWE,N,MIA,,,,,,,,,,,,,,,,,,,,,,,,,5,188,37.60,0
211,1978,1978-10-29,,37.025,NWE,N,NYJ,,,,,,,,,,,,,,,,,,,,,,,,,1,31,31.00,0
212,1978,1978-11-05,10,37.032,NWE,@,BUF,W 14-10,1,0,0.00,0,,,,,,,,,,,,,,,,,,,,3,112,37.33,0
213,1978,1978-11-19,,37.046,NWE,N,NYJ,,,,,,,,,,,,,,,,,,,,,,,,,4,141,35.25,0
214,1978,1978-11-26,,37.053,NWE,N,BAL,,,,,,,,,,,,,,,,,,,,,,,,,5,170,34.00,0
215,1978,1978-12-03,,37.060,NWE,N,DAL,,,,,,,,,,,,,,,,,,,,,,,,,5,196,39.20,0
216,1978,1978-12-10,,37.067,NWE,N,BUF,,,,,,,,,,,,,,,,,,,,,,,,,2,41,20.50,0
217,1978,1978-12-18,,37.075,NWE,N,MIA,,,,,,,,,,,,,,,,,,,,,,,,,3,101,33.67,0
