ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
95,2010,2010-11-28,11,27.129,STL,@,DEN,W 36-33,*,29,72,2.48,0,3,1,-6,-6.00,0,33.3%,-2.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
96,2010,2010-12-05,12,27.136,STL,@,ARI,W 19-6,*,28,102,3.64,1,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
97,2010,2010-12-12,13,27.143,STL,@,NOR,L 13-31,*,16,96,6.00,0,4,4,38,9.50,0,100.0%,9.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
98,2010,2010-12-19,14,27.150,STL,,KAN,L 13-27,*,19,67,3.53,1,6,5,37,7.40,0,83.3%,6.17,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
99,2010,2010-12-26,15,27.157,STL,,SFO,W 25-17,*,24,48,2.00,1,3,3,19,6.33,0,100.0%,6.33,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
100,2010,2011-01-02,16,27.164,STL,@,SEA,L 6-16,*,11,45,4.09,0,6,4,39,9.75,0,66.7%,6.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
101,2011,2011-09-11,1,28.051,STL,,PHI,L 13-31,*,2,56,28.00,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
102,2011,2011-09-25,3,28.065,STL,,BAL,L 7-37,*,4,23,5.75,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
103,2011,2011-10-02,4,28.072,STL,,WAS,L 10-17,*,17,45,2.65,0,8,4,19,4.75,1,50.0%,2.38,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
104,2011,2011-10-16,5,28.086,STL,@,GNB,L 3-24,*,18,96,5.33,0,5,4,29,7.25,0,80.0%,5.80,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
105,2011,2011-10-23,6,28.093,STL,@,DAL,L 7-34,*,18,70,3.89,1,5,4,3,0.75,0,80.0%,0.60,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
106,2011,2011-10-30,7,28.100,STL,,NOR,W 31-21,*,25,159,6.36,2,5,4,32,8.00,0,80.0%,6.40,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0
107,2011,2011-11-06,8,28.107,STL,@,ARI,L 13-19,*,29,130,4.48,0,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
108,2011,2011-11-13,9,28.114,STL,@,CLE,W 13-12,*,27,128,4.74,0,3,3,23,7.67,0,100.0%,7.67,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
109,2011,2011-11-20,10,28.121,STL,,SEA,L 7-24,*,15,42,2.80,0,5,3,19,6.33,0,60.0%,3.80,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0
110,2011,2011-11-27,11,28.128,STL,,ARI,L 20-23,*,17,64,3.76,0,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
111,2011,2011-12-04,12,28.135,STL,@,SFO,L 0-26,*,10,19,1.90,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
112,2011,2011-12-12,13,28.143,STL,@,SEA,L 13-30,*,20,63,3.15,1,5,3,60,20.00,0,60.0%,12.00,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
113,2011,2011-12-18,14,28.149,STL,,CIN,L 13-20,*,18,71,3.94,0,10,9,72,8.00,0,90.0%,7.20,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
114,2011,2011-12-24,15,28.155,STL,@,PIT,L 0-27,*,24,103,4.29,0,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
115,2011,2012-01-01,16,28.163,STL,,SFO,L 27-34,*,16,76,4.75,0,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
116,2012,2012-09-09,1,29.049,STL,@,DET,L 23-27,*,21,53,2.52,0,4,4,31,7.75,0,100.0%,7.75,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
117,2012,2012-09-16,2,29.056,STL,,WAS,W 31-28,*,9,58,6.44,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
118,2012,2012-09-23,3,29.063,STL,@,CHI,L 6-23,*,11,29,2.64,0,2,2,5,2.50,0,100.0%,2.50,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
119,2012,2012-09-30,4,29.070,STL,,SEA,W 19-13,*,18,55,3.06,0,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
120,2012,2012-10-04,5,29.074,STL,,ARI,W 17-3,*,18,76,4.22,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
121,2012,2012-10-14,6,29.084,STL,@,MIA,L 14-17,*,12,52,4.33,0,5,3,28,9.33,0,60.0%,5.60,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,2,0.0,0,0
122,2012,2012-10-21,7,29.091,STL,,GNB,L 20-30,*,12,57,4.75,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
123,2012,2012-10-28,8,29.098,STL,,NWE,L 7-45,*,8,26,3.25,0,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
124,2012,2012-11-11,9,29.112,STL,@,SFO,T 24-24,*,29,101,3.48,1,3,2,26,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
125,2012,2012-11-18,10,29.119,STL,,NYJ,L 13-27,*,13,81,6.23,0,4,2,5,2.50,0,50.0%,1.25,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
126,2012,2012-11-25,11,29.126,STL,@,ARI,W 31-17,*,24,139,5.79,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
127,2012,2012-12-02,12,29.133,STL,,SFO,W 16-13,*,21,48,2.29,0,7,5,69,13.80,0,71.4%,9.86,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
128,2012,2012-12-09,13,29.140,STL,@,BUF,W 15-12,*,19,64,3.37,1,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
