ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
131,2002,2002-11-10,9,31.131,NWE,@,CHI,W 33-30,*,17,11,90,8.18,0,64.7%,5.29,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,5,47,9.40,0,0,0,0,0,0
132,2002,2002-11-17,10,31.138,NWE,@,OAK,L 20-27,*,7,5,55,11.00,0,71.4%,7.86,1,-2,-2.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
133,2002,2002-11-24,11,31.145,NWE,,MIN,W 24-17,*,7,4,33,8.25,1,57.1%,4.71,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,0,0.00,0,1,6,0,0,0
134,2002,2002-11-28,12,31.149,NWE,@,DET,W 20-12,*,12,10,111,11.10,0,83.3%,9.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,2,1.00,0,0,0,0,0,0
135,2002,2002-12-08,13,31.159,NWE,,BUF,W 27-17,*,5,3,27,9.00,0,60.0%,5.40,1,21,21.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,27,27.00,0,0,0,0,0,0
136,2002,2002-12-16,14,31.167,NWE,@,TEN,L 7-24,*,14,8,73,9.13,0,57.1%,5.21,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,3,3.00,0,0,0,0,0,0
137,2002,2002-12-22,15,31.173,NWE,,NYJ,L 17-30,*,7,2,8,4.00,0,28.6%,1.14,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,26,6.50,0,0,0,0,0,0
138,2002,2002-12-29,16,31.180,NWE,,MIA,W 27-24,*,12,8,67,8.38,1,66.7%,5.58,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,13,4.33,0,1,6,0,0,0
139,2003,2003-09-07,1,32.067,NWE,@,BUF,L 0-31,*,4,1,10,10.00,0,25.0%,2.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,26,13.00,0,0,0,0,0,0
140,2003,2003-09-14,2,32.074,NWE,@,PHI,W 31-10,*,9,7,43,6.14,0,77.8%,4.78,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,5,47,9.40,0,0,0,0,0,0
141,2003,2003-09-21,3,32.081,NWE,,NYJ,W 23-16,*,4,1,16,16.00,0,25.0%,4.00,1,7,7.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,23,23.00,0,0,0,0,0,0
142,2003,2003-09-28,4,32.088,NWE,@,WAS,L 17-20,,7,7,60,8.57,0,100.0%,8.57,1,10,10.00,0,0,0,,0,0,0,,,,,,0,0,,0,2,20,10.00,0,0,0,0,0,0
143,2003,2003-10-05,5,32.095,NWE,,TEN,W 38-30,*,5,2,64,32.00,1,40.0%,12.80,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,23,11.50,0,1,6,0,0,0
144,2003,2003-10-12,6,32.102,NWE,,NYG,W 17-6,*,1,1,8,8.00,0,100.0%,8.00,2,12,6.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
145,2003,2003-10-19,7,32.109,NWE,@,MIA,W 19-13,*,7,6,131,21.83,1,85.7%,18.71,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,2,2.00,0,1,6,0,0,0
146,2003,2003-10-26,8,32.116,NWE,,CLE,W 9-3,*,3,2,10,5.00,0,66.7%,3.33,1,3,3.00,0,0,0,,0,0,0,,,,,,0,0,,0,5,44,8.80,0,0,0,0,0,0
147,2003,2003-11-03,9,32.124,NWE,@,DEN,W 30-26,*,3,0,0,,0,0.0%,0.00,1,-5,-5.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,9,9.00,0,0,0,0,0,0
148,2003,2003-12-14,14,32.165,NWE,,JAX,W 27-13,*,6,4,43,10.75,1,66.7%,7.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,5,49,9.80,0,1,6,0,0,0
149,2003,2003-12-20,15,32.171,NWE,@,NYJ,W 21-16,,4,4,35,8.75,0,100.0%,8.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,13,6.50,0,0,0,0,0,0
150,2003,2003-12-27,16,32.178,NWE,,BUF,W 31-0,*,7,5,52,10.40,1,71.4%,7.43,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,37,12.33,0,1,6,0,0,0
151,2004,2004-09-19,2,33.079,NWE,@,ARI,W 23-12,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,27,6.75,0,0,0,0,0,0
152,2004,2004-10-03,3,33.093,NWE,@,BUF,W 31-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,2004,2004-10-31,7,33.121,NWE,@,PIT,L 20-34,,7,5,59,11.80,0,71.4%,8.43,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
154,2004,2004-11-07,8,33.128,NWE,@,STL,W 40-22,,3,3,30,10.00,1,100.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
155,2004,2004-11-14,9,33.135,NWE,,BUF,W 29-6,,6,2,23,11.50,0,33.3%,3.83,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,1,17,0
156,2004,2004-11-22,10,33.143,NWE,@,KAN,W 27-19,,2,2,27,13.50,0,100.0%,13.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
157,2004,2004-11-28,11,33.149,NWE,,BAL,W 24-3,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,28,9.33,0,0,0,0,0,0
158,2004,2004-12-05,12,33.156,NWE,@,CLE,W 42-15,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,5,2.50,0,0,0,1,0,0
159,2004,2004-12-12,13,33.163,NWE,,CIN,W 35-28,,4,2,27,13.50,0,50.0%,6.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,1,5,0
160,2004,2004-12-20,14,33.171,NWE,@,MIA,L 28-29,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
161,2004,2004-12-26,15,33.177,NWE,@,NYJ,W 23-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,23,7.67,0,0,0,0,0,0
162,2004,2005-01-02,16,33.184,NWE,,SFO,W 21-7,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
163,2005,2005-09-08,1,34.068,NWE,,OAK,W 30-20,,7,6,51,8.50,0,85.7%,7.29,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
164,2005,2005-09-18,2,34.078,NWE,@,CAR,L 17-27,,5,3,87,29.00,0,60.0%,17.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
165,2005,2005-09-25,3,34.085,NWE,@,PIT,W 23-20,,5,4,43,10.75,0,80.0%,8.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
166,2005,2005-10-02,4,34.092,NWE,,SDG,L 17-41,,6,2,25,12.50,0,33.3%,4.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
167,2005,2005-10-09,5,34.099,NWE,@,ATL,W 31-28,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
168,2005,2005-11-07,8,34.128,NWE,,IND,L 21-40,,9,5,57,11.40,1,55.6%,6.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
169,2005,2005-11-13,9,34.134,NWE,@,MIA,W 23-16,*,8,3,36,12.00,0,37.5%,4.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,2,2.00,0,0,0,0,0,0
170,2005,2005-11-27,11,34.148,NWE,@,KAN,L 16-26,,2,1,25,25.00,0,50.0%,12.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,9,4.50,0,0,0,0,0,0
171,2005,2005-12-04,12,34.155,NWE,,NYJ,W 16-3,,6,5,64,12.80,0,83.3%,10.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
172,2005,2005-12-11,13,34.162,NWE,@,BUF,W 35-7,*,6,6,45,7.50,1,100.0%,7.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,3,3.00,0,1,6,0,0,0
173,2005,2005-12-17,14,34.168,NWE,,TAM,W 28-0,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,9,4.50,0,0,0,0,0,0
174,2005,2005-12-26,15,34.177,NWE,@,NYJ,W 31-21,,3,3,31,10.33,0,100.0%,10.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,7,7.00,0,0,0,0,0,0
175,2005,2006-01-01,16,34.183,NWE,,MIA,L 26-28,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
176,2006,2006-09-10,1,35.070,NWE,,BUF,W 19-17,*,3,2,18,9.00,1,66.7%,6.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
177,2006,2006-09-17,2,35.077,NWE,@,NYJ,W 24-17,*,8,4,51,12.75,0,50.0%,6.38,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
178,2006,2006-09-24,3,35.084,NWE,,DEN,L 7-17,,8,4,41,10.25,0,50.0%,5.13,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
179,2006,2006-10-01,4,35.091,NWE,@,CIN,W 38-13,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
180,2006,2006-10-08,5,35.098,NWE,,MIA,W 20-10,,6,5,58,11.60,1,83.3%,9.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,4,4.00,0,1,6,0,0,0
181,2006,2006-10-22,6,35.112,NWE,@,BUF,W 28-6,*,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,12,12.00,0,0,0,0,0,0
182,2006,2006-10-30,7,35.120,NWE,@,MIN,W 31-7,*,4,2,12,6.00,1,50.0%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
183,2006,2006-11-05,8,35.126,NWE,,IND,L 20-27,,5,5,37,7.40,0,100.0%,7.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
184,2006,2006-11-12,9,35.133,NWE,,NYJ,L 14-17,,3,1,13,13.00,0,33.3%,4.33,1,2,2.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
185,2006,2006-11-19,10,35.140,NWE,@,GNB,W 35-0,,4,4,26,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
186,2006,2006-11-26,11,35.147,NWE,,CHI,W 17-13,,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
187,2006,2006-12-03,12,35.154,NWE,,DET,W 28-21,*,3,2,8,4.00,0,66.7%,2.67,1,16,16.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
188,2006,2006-12-10,13,35.161,NWE,@,MIA,L 0-21,*,6,3,25,8.33,0,50.0%,4.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
189,2006,2006-12-17,14,35.168,NWE,,HOU,W 40-7,*,5,1,4,4.00,0,20.0%,0.80,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
190,2006,2006-12-24,15,35.175,NWE,@,JAX,W 24-21,*,9,4,44,11.00,0,44.4%,4.89,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
191,2006,2006-12-31,16,35.182,NWE,@,TEN,W 40-23,*,7,3,13,4.33,1,42.9%,1.86,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
192,2007,2007-12-23,15,36.174,NWE,,MIA,W 28-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,6,55,9.17,0,0,0,0,0,0
