ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
78,1985,1985-09-15,2,30.192,MIN,@,TAM,W 31-16,*,18,28,64.29,183,1,2,65.0,0,0,6.54,4.04,4,-5,-1.25,0,0,0,,0,0,0
79,1985,1985-09-19,3,30.196,MIN,,CHI,L 24-33,*,28,55,50.91,436,3,3,73.0,4,25,7.93,6.56,0,0,,0,0,0,,0,0,0
80,1985,1985-09-29,4,30.206,MIN,@,BUF,W 27-20,*,15,23,65.22,205,3,1,115.0,4,38,8.91,9.57,2,10,5.00,0,0,0,,0,0,0
81,1985,1985-10-06,5,30.213,MIN,@,RAM,L 10-13,*,21,36,58.33,196,0,0,73.4,4,24,5.44,5.44,1,11,11.00,0,0,0,,0,0,0
82,1985,1985-10-13,6,30.220,MIN,@,GNB,L 17-20,*,20,37,54.05,237,2,2,69.3,2,14,6.41,5.05,2,1,0.50,0,0,0,,0,0,0
83,1985,1985-10-20,7,30.227,MIN,,SDG,W 21-17,*,31,46,67.39,311,2,2,82.8,3,13,6.76,5.67,2,9,4.50,0,0,0,,0,0,0
84,1985,1985-10-27,8,30.234,MIN,@,CHI,L 9-27,*,16,33,48.48,176,0,3,26.8,3,21,5.33,1.24,1,-1,-1.00,0,0,0,,0,0,0
85,1985,1985-11-03,9,30.241,MIN,,DET,W 16-13,*,14,21,66.67,123,0,1,62.2,1,9,5.86,3.71,1,8,8.00,0,0,0,,0,0,0
86,1985,1985-11-10,10,30.248,MIN,,GNB,L 17-27,*,12,26,46.15,141,0,2,31.1,1,7,5.42,1.96,3,1,0.33,0,0,0,,0,0,0
87,1985,1985-11-17,11,30.255,MIN,@,DET,L 21-41,*,7,16,43.75,138,2,2,74.5,2,11,8.63,5.50,1,4,4.00,0,0,0,,0,0,0
88,1985,1985-11-24,12,30.262,MIN,,NOR,L 23-30,*,19,45,42.22,240,2,3,46.5,2,15,5.33,3.22,0,0,,0,0,0,,0,0,0
89,1985,1985-12-08,14,30.276,MIN,,TAM,W 26-7,*,21,36,58.33,309,0,2,63.3,0,0,8.58,6.08,3,11,3.67,0,0,0,,0,0,0
90,1985,1985-12-15,15,30.283,MIN,@,ATL,L 13-14,*,22,43,51.16,315,1,2,63.6,4,29,7.33,5.70,2,2,1.00,0,0,0,,0,0,0
91,1985,1985-12-22,16,30.290,MIN,,PHI,L 35-37,*,21,36,58.33,321,2,1,94.8,8,40,8.92,8.78,1,0,0.00,0,0,0,,0,0,0
92,1986,1986-09-07,1,31.184,MIN,,DET,L 10-13,*,21,38,55.26,223,1,1,70.4,2,10,5.87,5.21,1,0,0.00,0,0,0,,0,0,0
93,1986,1986-09-14,2,31.191,MIN,@,TAM,W 23-10,*,9,21,42.86,130,1,0,79.5,2,10,6.19,7.14,1,3,3.00,0,0,0,,0,0,0
94,1986,1986-09-21,3,31.198,MIN,,PIT,W 31-7,*,19,27,70.37,257,3,0,137.4,2,12,9.52,11.74,1,2,2.00,0,0,0,,0,0,0
95,1986,1986-09-28,4,31.205,MIN,,GNB,W 42-7,*,16,25,64.00,241,6,0,135.2,0,0,9.64,14.44,1,0,0.00,0,0,0,,0,0,0
96,1986,1986-10-05,5,31.212,MIN,@,CHI,L 0-23,*,11,30,36.67,163,0,2,27.5,7,49,5.43,2.43,1,0,0.00,0,0,0,,0,0,0
97,1986,1986-10-12,6,31.219,MIN,@,SFO,W 27-24,*,26,41,63.41,326,2,2,84.0,2,9,7.95,6.73,0,0,,0,0,0,,0,0,0
98,1986,1986-10-19,7,31.226,MIN,,CHI,W 23-7,*,12,18,66.67,239,2,0,146.8,1,15,13.28,15.50,4,21,5.25,1,0,0,,0,1,6
99,1986,1986-10-26,8,31.233,MIN,,CLE,L 20-23,*,18,35,51.43,261,1,1,73.6,4,23,7.46,6.74,2,5,2.50,0,0,0,,0,0,0
100,1986,1986-11-02,9,31.240,MIN,@,WAS,L 38-44,*,20,35,57.14,490,4,1,128.0,4,19,14.00,15.00,3,8,2.67,0,0,0,,0,0,0
101,1986,1986-11-09,10,31.247,MIN,@,DET,W 24-10,*,24,39,61.54,283,1,2,70.8,2,13,7.26,5.46,2,-2,-1.00,0,0,0,,0,0,0
102,1986,1986-11-16,11,31.254,MIN,,NYG,L 20-22,*,16,25,64.00,187,1,0,99.9,3,11,7.48,8.28,3,9,3.00,0,0,0,,0,0,0
103,1986,1986-12-07,14,31.275,MIN,@,GNB,W 32-6,*,13,25,52.00,153,1,1,67.6,1,7,6.12,5.12,4,2,0.50,0,0,0,,0,0,0
