ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
100,2012,2012-12-16,14,29.194,NOR,,TAM,W 41-0,,3,3,60,20.00,0,100.0%,20.00,0,0,,0,0,0,0.0,0,0
101,2012,2012-12-23,15,29.201,NOR,@,DAL,W 34-31,*,13,10,153,15.30,0,76.9%,11.77,0,0,,0,0,0,0.0,0,0
102,2012,2012-12-30,16,29.208,NOR,,CAR,L 38-44,*,8,5,52,10.40,2,62.5%,6.50,0,0,,0,2,12,0.0,0,0
103,2013,2013-09-08,1,30.095,NOR,,ATL,W 23-17,,6,5,68,13.60,1,83.3%,11.33,0,0,,0,1,6,0.0,1,0
104,2013,2013-09-15,2,30.102,NOR,@,TAM,W 16-14,*,7,4,63,15.75,0,57.1%,9.00,0,0,,0,0,0,0.0,0,0
105,2013,2013-09-22,3,30.109,NOR,,ARI,W 31-7,*,8,5,71,14.20,0,62.5%,8.88,0,0,,0,0,0,0.0,0,0
106,2013,2013-09-30,4,30.117,NOR,,MIA,W 38-17,,8,7,96,13.71,0,87.5%,12.00,0,0,,0,0,0,0.0,0,0
107,2013,2013-10-06,5,30.123,NOR,@,CHI,W 26-18,*,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,0.0,0,0
108,2013,2013-10-13,6,30.130,NOR,@,NWE,L 27-30,*,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,0.0,0,0
109,2013,2013-10-27,7,30.144,NOR,,BUF,W 35-17,*,6,3,18,6.00,0,50.0%,3.00,0,0,,0,0,0,0.0,0,0
110,2013,2013-11-10,9,30.158,NOR,,DAL,W 49-17,*,8,7,107,15.29,1,87.5%,13.38,0,0,,0,1,6,0.0,0,0
111,2013,2013-11-17,10,30.165,NOR,,SFO,W 23-20,,8,5,80,16.00,0,62.5%,10.00,0,0,,0,0,0,0.0,0,0
112,2013,2013-11-21,11,30.169,NOR,@,ATL,W 17-13,*,6,4,40,10.00,0,66.7%,6.67,0,0,,0,0,0,0.0,0,0
113,2013,2013-12-02,12,30.180,NOR,@,SEA,L 7-34,*,7,4,27,6.75,0,57.1%,3.86,0,0,,0,0,0,0.0,0,0
114,2013,2013-12-08,13,30.186,NOR,,CAR,W 31-13,*,13,9,125,13.89,2,69.2%,9.62,0,0,,0,2,12,0.0,0,0
115,2013,2013-12-15,14,30.193,NOR,@,STL,L 16-27,*,13,8,92,11.50,1,61.5%,7.08,0,0,,0,1,6,0.0,1,0
116,2013,2013-12-22,15,30.200,NOR,@,CAR,L 13-17,*,10,5,63,12.60,0,50.0%,6.30,0,0,,0,0,0,0.0,0,0
117,2013,2013-12-29,16,30.207,NOR,,TAM,W 42-17,,6,6,67,11.17,0,100.0%,11.17,0,0,,0,0,0,0.0,0,0
118,2014,2014-09-07,1,31.094,NOR,@,ATL,L 34-37,*,8,5,110,22.00,0,62.5%,13.75,0,0,,0,0,0,0.0,0,0
119,2014,2014-09-14,2,31.101,NOR,@,CLE,L 24-26,*,,,,,,0.0%,,,,,,,,,,
120,2014,2014-09-21,3,31.108,NOR,,MIN,W 20-9,*,5,2,25,12.50,1,40.0%,5.00,0,0,,0,1,6,0.0,0,0
121,2014,2014-09-28,4,31.115,NOR,@,DAL,L 17-38,*,11,5,50,10.00,0,45.5%,4.55,0,0,,0,0,0,0.0,0,0
122,2014,2014-10-05,5,31.122,NOR,,TAM,W 37-31,,6,3,63,21.00,0,50.0%,10.50,0,0,,0,0,0,0.0,0,0
123,2014,2014-10-19,6,31.136,NOR,@,DET,L 23-24,*,10,6,111,18.50,0,60.0%,11.10,0,0,,0,0,0,0.0,0,0
124,2014,2014-10-26,7,31.143,NOR,,GNB,W 44-23,*,5,4,49,12.25,0,80.0%,9.80,0,0,,0,0,0,0.0,0,0
125,2014,2014-10-30,8,31.147,NOR,@,CAR,W 28-10,*,3,3,36,12.00,0,100.0%,12.00,0,0,,0,0,0,0.0,0,0
126,2014,2014-11-09,9,31.157,NOR,,SFO,L 24-27,*,4,2,36,18.00,0,50.0%,9.00,0,0,,0,0,0,0.0,0,0
127,2014,2014-11-16,10,31.164,NOR,,CIN,L 10-27,*,8,4,56,14.00,0,50.0%,7.00,0,0,,0,0,0,0.0,0,0
128,2014,2014-11-24,11,31.172,NOR,,BAL,L 27-34,*,4,4,82,20.50,1,100.0%,20.50,0,0,,0,1,6,0.0,0,0
129,2014,2014-11-30,12,31.178,NOR,@,PIT,W 35-32,*,5,3,16,5.33,1,60.0%,3.20,0,0,,0,1,6,0.0,0,0
130,2014,2014-12-07,13,31.185,NOR,,CAR,L 10-41,*,7,5,72,14.40,0,71.4%,10.29,0,0,,0,0,0,0.0,0,0
131,2014,2014-12-15,14,31.193,NOR,@,CHI,W 31-15,*,7,5,65,13.00,1,71.4%,9.29,0,0,,0,1,6,0.0,0,0
132,2014,2014-12-21,15,31.199,NOR,,ATL,L 14-30,,10,6,80,13.33,0,60.0%,8.00,0,0,,0,0,0,0.0,1,0
133,2014,2014-12-28,16,31.206,NOR,@,TAM,W 23-20,,7,2,51,25.50,1,28.6%,7.29,0,0,,0,1,6,0.0,1,0
134,2015,2015-09-13,1,32.100,NOR,@,ARI,L 19-31,*,7,3,29,9.67,0,42.9%,4.14,0,0,,0,0,0,0.0,0,0
135,2015,2015-09-20,2,32.107,NOR,,TAM,L 19-26,,5,4,69,17.25,0,80.0%,13.80,0,0,,0,0,0,0.0,0,0
136,2015,2015-09-27,3,32.114,NOR,@,CAR,L 22-27,,6,4,47,11.75,0,66.7%,7.83,0,0,,0,0,0,0.0,0,0
137,2015,2015-10-04,4,32.121,NOR,,DAL,W 26-20,,5,4,19,4.75,0,80.0%,3.80,0,0,,0,0,0,0.0,0,0
138,2015,2015-10-11,5,32.128,NOR,@,PHI,L 17-39,*,5,3,36,12.00,0,60.0%,7.20,0,0,,0,0,0,0.0,0,0
139,2015,2015-10-25,7,32.142,NOR,@,IND,W 27-21,,3,1,20,20.00,0,33.3%,6.67,0,0,,0,0,0,0.0,0,0
140,2015,2015-11-01,8,32.149,NOR,,NYG,W 52-49,,9,8,114,14.25,1,88.9%,12.67,0,0,,0,1,6,0.0,0,0
141,2015,2015-11-08,9,32.156,NOR,,TEN,L 28-34,,3,3,37,12.33,0,100.0%,12.33,0,0,,0,0,0,0.0,0,0
142,2015,2015-11-15,10,32.163,NOR,@,WAS,L 14-47,*,5,3,22,7.33,0,60.0%,4.40,0,0,,0,0,0,0.0,0,0
143,2015,2015-11-29,11,32.177,NOR,@,HOU,L 6-24,,4,3,38,12.67,0,75.0%,9.50,0,0,,0,0,0,0.0,0,0
144,2015,2015-12-06,12,32.184,NOR,,CAR,L 38-41,*,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0,0.0,0,0
145,2015,2015-12-13,13,32.191,NOR,@,TAM,W 24-17,,8,6,36,6.00,2,75.0%,4.50,0,0,,0,2,12,0.0,0,0
146,2015,2015-12-21,14,32.199,NOR,,DET,L 27-35,*,4,2,39,19.50,1,50.0%,9.75,0,0,,0,1,6,0.0,0,0
